;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a
1503.1;0;256;101;143;143;136;136;148;26;159;107
Flor232;256;0;260;244;322;247;246;249;252;256;284
FlorPanc27;101;260;0;124;125;118;119;121;108;121;18
Giunta;143;244;124;0;32;2;3;7;142;33;109
ModD4;143;322;125;32;0;30;31;35;153;47;115
Pet1505;136;247;118;2;30;0;1;5;137;31;108
Pet1515;136;246;119;3;31;1;0;6;138;32;109
Pet1519;148;249;121;7;35;5;6;0;139;36;111
SGall463;26;252;108;142;153;137;138;139;0;145;119
VatS41-13+13a;159;256;121;33;47;31;32;36;145;0;100
VatS41-13a;107;284;18;109;115;108;109;111;119;100;0
;;;;;;;;;;;
1503.1;0;253,77778;130,88938;136,38053;154,9873;134,34928;135,25553;139,02636;26;138,5248;125,45188
Flor232;253,77778;0;255,07589;260,56704;279,17381;258,53579;259,44204;263,21287;254,22222;262,71131;249,63839
FlorPanc27;130,88938;255,07589;0;114,34531;132,95208;112,31406;113,22031;116,99115;131,33383;116,48958;18
Giunta;136,38053;260,56704;114,34531;0;32,1276;2;3,01563;7,05208;136,82498;32,18073;108,90781
ModD4;154,9873;279,17381;132,95208;32,1276;0;30,09635;31,0026;34,77344;155,43175;50,7875;127,51458
Pet1505;134,34928;258,53579;112,31406;2;30,09635;0;0,98438;5,02083;134,79373;30,14948;106,87656
Pet1515;135,25553;259,44204;113,22031;3,01563;31,0026;0,98438;0;5,92708;135,69998;31,05573;107,78281
Pet1519;139,02636;263,21287;116,99115;7,05208;34,77344;5,02083;5,92708;0;139,47081;34,82656;111,55365
SGall463;26;254,22222;131,33383;136,82498;155,43175;134,79373;135,69998;139,47081;0;138,96925;125,89633
VatS41-13+13a;138,5248;262,71131;116,48958;32,18073;50,7875;30,14948;31,05573;34,82656;138,96925;0;111,05208
VatS41-13a;125,45188;249,63839;18;108,90781;127,51458;106,87656;107,78281;111,55365;125,89633;111,05208;0
;;;;;;;;;;;
1503.1;0;2,22222;-29,88938;6,61947;-11,9873;1,65072;0,74447;8,97364;0;20,4752;-18,45188
Flor232;2,22222;0;4,92411;-16,56704;42,82619;-11,53579;-13,44204;-14,21287;-2,22222;-6,71131;34,36161
FlorPanc27;-29,88938;4,92411;0;9,65469;-7,95208;5,68594;5,77969;4,00885;-23,33383;4,51042;0
Giunta;6,61947;-16,56704;9,65469;0;-0,1276;0;-0,01563;-0,05208;5,17502;0,81927;0,09219
ModD4;-11,9873;42,82619;-7,95208;-0,1276;0;-0,09635;-0,0026;0,22656;-2,43175;-3,7875;-12,51458
Pet1505;1,65072;-11,53579;5,68594;0;-0,09635;0;0,01562;-0,02083;2,20627;0,85052;1,12344
Pet1515;0,74447;-13,44204;5,77969;-0,01563;-0,0026;0,01562;0;0,07292;2,30002;0,94427;1,21719
Pet1519;8,97364;-14,21287;4,00885;-0,05208;0,22656;-0,02083;0,07292;0;-0,47081;1,17344;-0,55365
SGall463;0;-2,22222;-23,33383;5,17502;-2,43175;2,20627;2,30002;-0,47081;0;6,03075;-6,89633
VatS41-13+13a;20,4752;-6,71131;4,51042;0,81927;-3,7875;0,85052;0,94427;1,17344;6,03075;0;-11,05208
VatS41-13a;-18,45188;34,36161;0;0,09219;-12,51458;1,12344;1,21719;-0,55365;-6,89633;-11,05208;0
