;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a
1503.1;0;209;74;116;121;116;116;116;4;118;84
Flor232;209;0;243;202;256;203;203;203;208;212;237
FlorPanc27;74;243;0;102;103;102;103;102;91;102;1
Giunta;116;202;102;0;8;1;2;2;116;6;99
ModD4;121;256;103;8;0;7;8;8;121;12;100
Pet1505;116;203;102;1;7;0;1;1;116;5;99
Pet1515;116;203;103;2;8;1;0;2;116;6;100
Pet1519;116;203;102;2;8;1;2;0;116;6;99
SGall463;4;208;91;116;121;116;116;116;0;118;87
VatS41-13+13a;118;212;102;6;12;5;6;6;118;0;102
VatS41-13a;84;237;1;99;100;99;100;99;87;102;0
;;;;;;;;;;;
1503.1;0;227,8373;84,06944;106,69147;120,31412;111,33366;111,25553;109,65397;4;117,02506;81,81944
Flor232;227,8373;0;220,73214;207,14583;220,76849;211,78802;211,7099;210,10833;229,94841;217,47943;218,48214
FlorPanc27;84,06944;220,73214;0;99,58631;113,20897;104,2285;104,15037;102,54881;86,18056;109,9199;1
Giunta;106,69147;207,14583;99,58631;0;10,19766;1,21719;1,13906;-0,4625;108,80258;6,90859;97,33631
ModD4;120,31412;220,76849;113,20897;10,19766;0;7,64453;9,08984;9,58203;122,42524;12;110,95897
Pet1505;111,33366;211,78802;104,2285;1,21719;7,64453;0;0,10938;0,60156;113,44477;4,35547;101,9785
Pet1515;111,25553;211,7099;104,15037;1,13906;9,08984;0,10938;0;0,52344;113,36664;5,80078;101,90037
Pet1519;109,65397;210,10833;102,54881;-0,4625;9,58203;0,60156;0,52344;0;111,76508;6,29297;100,29881
SGall463;4;229,94841;86,18056;108,80258;122,42524;113,44477;113,36664;111,76508;0;119,13617;83,93056
VatS41-13+13a;117,02506;217,47943;109,9199;6,90859;12;4,35547;5,80078;6,29297;119,13617;0;107,6699
VatS41-13a;81,81944;218,48214;1;97,33631;110,95897;101,9785;101,90037;100,29881;83,93056;107,6699;0
;;;;;;;;;;;
1503.1;0;-18,8373;-10,06944;9,30853;0,68588;4,66634;4,74447;6,34603;0;0,97494;2,18056
Flor232;-18,8373;0;22,26786;-5,14583;35,23151;-8,78802;-8,7099;-7,10833;-21,94841;-5,47943;18,51786
FlorPanc27;-10,06944;22,26786;0;2,41369;-10,20897;-2,2285;-1,15037;-0,54881;4,81944;-7,9199;0
Giunta;9,30853;-5,14583;2,41369;0;-2,19766;-0,21719;0,86094;2,4625;7,19742;-0,90859;1,66369
ModD4;0,68588;35,23151;-10,20897;-2,19766;0;-0,64453;-1,08984;-1,58203;-1,42524;0;-10,95897
Pet1505;4,66634;-8,78802;-2,2285;-0,21719;-0,64453;0;0,89062;0,39844;2,55523;0,64453;-2,9785
Pet1515;4,74447;-8,7099;-1,15037;0,86094;-1,08984;0,89062;0;1,47656;2,63336;0,19922;-1,90037
Pet1519;6,34603;-7,10833;-0,54881;2,4625;-1,58203;0,39844;1,47656;0;4,23492;-0,29297;-1,29881
SGall463;0;-21,94841;4,81944;7,19742;-1,42524;2,55523;2,63336;4,23492;0;-1,13617;3,06944
VatS41-13+13a;0,97494;-5,47943;-7,9199;-0,90859;0;0,64453;0,19922;-0,29297;-1,13617;0;-5,6699
VatS41-13a;2,18056;18,51786;0;1,66369;-10,95897;-2,9785;-1,90037;-1,29881;3,06944;-5,6699;0
