;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a
1503.1;0;405;117;222;227;221;221;225;39;235;122
Flor232;405;0;393;389;438;387;387;391;403;411;393
FlorPanc27;117;393;0;133;134;131;132;135;124;144;28
Giunta;222;389;133;0;37;4;5;8;218;51;125
ModD4;227;438;134;37;0;33;34;37;221;62;133
Pet1505;221;387;131;4;33;0;1;4;217;47;123
Pet1515;221;387;132;5;34;1;0;5;217;48;124
Pet1519;225;391;135;8;37;4;5;0;219;51;127
SGall463;39;403;124;218;221;217;217;219;0;237;121
VatS41-13+13a;235;411;144;51;62;47;48;51;237;0;118
VatS41-13a;122;393;28;125;133;123;124;127;121;118;0
;;;;;;;;;;;
1503.1;0;440,32143;125,625;214,1308;232,58393;210,64382;211,55789;214,6282;39;227,13393;118,375
Flor232;440,32143;0;361,30357;396,18438;414,6375;392,6974;393,61146;396,68177;438,32143;409,1875;354,05357
FlorPanc27;125,625;361,30357;0;135,11295;153,56607;131,62597;132,54003;135,61034;123,625;148,11607;28
Giunta;214,1308;396,18438;135,11295;0;36,64063;4,03385;4,94792;8,01823;212,1308;49,22188;127,86295
ModD4;232,58393;414,6375;153,56607;36,64063;0;33,15365;34,06771;37,13802;230,58393;67,675;146,31607
Pet1505;210,64382;392,6974;131,62597;4,03385;33,15365;0;1,00781;4;208,64382;45,7349;124,37597
Pet1515;211,55789;393,61146;132,54003;4,94792;34,06771;1,00781;0;4,99219;209,55789;46,64896;125,29003
Pet1519;214,6282;396,68177;135,61034;8,01823;37,13802;4;4,99219;0;212,6282;49,71927;128,36034
SGall463;39;438,32143;123,625;212,1308;230,58393;208,64382;209,55789;212,6282;0;225,13393;116,375
VatS41-13+13a;227,13393;409,1875;148,11607;49,22188;67,675;45,7349;46,64896;49,71927;225,13393;0;140,86607
VatS41-13a;118,375;354,05357;28;127,86295;146,31607;124,37597;125,29003;128,36034;116,375;140,86607;0
