;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a;FlorPanc27
1503.1;0;143;143;136;136;148;26;159;107;101
Giunta;143;0;32;2;3;7;142;33;109;124
ModD4;143;32;0;30;31;35;153;47;115;125
Pet1505;136;2;30;0;1;5;137;31;108;118
Pet1515;136;3;31;1;0;6;138;32;109;119
Pet1519;148;7;35;5;6;0;139;36;111;121
SGall463;26;142;153;137;138;139;0;145;119;108
VatS41-13+13a;159;33;47;31;32;36;145;0;100;128
VatS41-13a;107;109;115;108;109;111;119;100;0;18
FlorPanc27;101;124;125;118;119;121;108;128;18;0
;;;;;;;;;;
1503.1;0;140,18698;150,28333;138,0151;138,75208;142,92917;26;146,33333;102,92857;113,57143
Giunta;140,18698;0;32,21615;2;3,14323;7,08594;141,18698;33,95365;107,69888;118,34174
ModD4;150,28333;32,21615;0;30,04427;30,78125;34,95833;151,28333;44,05;117,79524;128,4381
Pet1505;138,0151;2;30,04427;0;0,97135;4,91406;139,0151;31,78177;105,52701;116,16987
Pet1515;138,75208;3,14323;30,78125;0,97135;0;5,88542;139,75208;32,51875;106,26399;116,90685
Pet1519;142,92917;7,08594;34,95833;4,91406;5,88542;0;143,92917;36,69583;110,44107;121,08393
SGall463;26;141,18698;151,28333;139,0151;139,75208;143,92917;0;147,33333;103,92857;114,57143
VatS41-13+13a;146,33333;33,95365;44,05;31,78177;32,51875;36,69583;147,33333;0;113,84524;124,4881
VatS41-13a;102,92857;107,69888;117,79524;105,52701;106,26399;110,44107;103,92857;113,84524;0;18
FlorPanc27;113,57143;118,34174;128,4381;116,16987;116,90685;121,08393;114,57143;124,4881;18;0
