;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a;FlorPanc27
1503.1;0;154;154;151;152;151;4;153;72;74
Giunta;154;0;7;1;2;2;155;7;85;86
ModD4;154;7;0;6;7;7;155;12;91;92
Pet1505;151;1;6;0;1;1;152;6;86;87
Pet1515;152;2;7;1;0;2;153;7;87;88
Pet1519;151;2;7;1;2;0;152;7;86;87
SGall463;4;155;155;152;153;152;0;154;73;75
VatS41-13+13a;153;7;12;6;7;7;154;0;88;89
VatS41-13a;72;85;91;86;87;86;73;88;0;1
FlorPanc27;74;86;92;87;88;87;75;89;1;0
;;;;;;;;;;
1503.1;0;151,80417;155,86667;150,80417;151,80417;151,55417;4;153,16667;72,42857;73,57143
Giunta;151,80417;0;7,0625;1;2;2;152,80417;7,2375;86,3994;87,54226
ModD4;155,86667;7,0625;0;6,0625;7,0625;6,8125;156,86667;11,3;90,4619;91,60476
Pet1505;150,80417;1;6,0625;0;1;1;151,80417;6,2375;85,3994;86,54226
Pet1515;151,80417;2;7,0625;1;0;2;152,80417;7,2375;86,3994;87,54226
Pet1519;151,55417;2;6,8125;1;2;0;152,55417;6,9875;86,1494;87,29226
SGall463;4;152,80417;156,86667;151,80417;152,80417;152,55417;0;154,16667;73,42857;74,57143
VatS41-13+13a;153,16667;7,2375;11,3;6,2375;7,2375;6,9875;154,16667;0;87,7619;88,90476
VatS41-13a;72,42857;86,3994;90,4619;85,3994;86,3994;86,1494;73,42857;87,7619;0;1
FlorPanc27;73,57143;87,54226;91,60476;86,54226;87,54226;87,29226;74,57143;88,90476;1;0
