;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a;FlorPanc27
1503.1;0;222;227;221;221;225;39;235;122;117
Giunta;222;0;37;4;5;8;218;51;125;133
ModD4;227;37;0;33;34;37;221;62;133;134
Pet1505;221;4;33;0;1;4;217;47;123;131
Pet1515;221;5;34;1;0;5;217;48;124;132
Pet1519;225;8;37;4;5;0;219;51;127;135
SGall463;39;218;221;217;217;219;0;237;121;124
VatS41-13+13a;235;51;62;47;48;51;237;0;118;144
VatS41-13a;122;125;133;123;124;127;121;118;0;28
FlorPanc27;117;133;134;131;132;135;124;144;28;0
;;;;;;;;;;
1503.1;0;223,83943;231,57381;220,37329;221,35766;224,34985;39;226,64881;120,35714;121,5
Giunta;223,83943;0;36,60938;4,01302;4,9974;7,98958;221,83943;51,34063;124,14896;133,62515
ModD4;231,57381;36,60938;0;33,14323;34,1276;37,11979;229,57381;59,075;131,88333;141,35952
Pet1505;220,37329;4,01302;33,14323;0;1;4,00781;218,37329;47,87448;120,68281;130,159
Pet1515;221,35766;4,9974;34,1276;1;0;4,99219;219,35766;48,85885;121,66719;131,14338
Pet1519;224,34985;7,98958;37,11979;4,00781;4,99219;0;222,34985;51,85104;124,65938;134,13557
SGall463;39;221,83943;229,57381;218,37329;219,35766;222,34985;0;224,64881;118,35714;119,5
VatS41-13+13a;226,64881;51,34063;59,075;47,87448;48,85885;51,85104;224,64881;0;126,95833;136,43452
VatS41-13a;120,35714;124,14896;131,88333;120,68281;121,66719;124,65938;118,35714;126,95833;0;30,14286
FlorPanc27;121,5;133,62515;141,35952;130,159;131,14338;134,13557;119,5;136,43452;30,14286;0
;;;;;;;;;;
1503.1;0;-1,83943;-4,57381;0,62671;-0,35766;0,65015;0;8,35119;1,64286;-4,5
Giunta;-1,83943;0;0,39062;-0,01302;0,0026;0,01042;-3,83943;-0,34063;0,85104;-0,62515
ModD4;-4,57381;0,39062;0;-0,14323;-0,1276;-0,11979;-8,57381;2,925;1,11667;-7,35952
Pet1505;0,62671;-0,01302;-0,14323;0;0;-0,00781;-1,37329;-0,87448;2,31719;0,841
Pet1515;-0,35766;0,0026;-0,1276;0;0;0,00781;-2,35766;-0,85885;2,33281;0,85662
Pet1519;0,65015;0,01042;-0,11979;-0,00781;0,00781;0;-3,34985;-0,85104;2,34062;0,86443
SGall463;0;-3,83943;-8,57381;-1,37329;-2,35766;-3,34985;0;12,35119;2,64286;4,5
VatS41-13+13a;8,35119;-0,34063;2,925;-0,87448;-0,85885;-0,85104;12,35119;0;-8,95833;7,56548
VatS41-13a;1,64286;0,85104;1,11667;2,31719;2,33281;2,34062;2,64286;-8,95833;0;-2,14286
FlorPanc27;-4,5;-0,62515;-7,35952;0,841;0,85662;0,86443;4,5;7,56548;-2,14286;0
