;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13
1503.1;0;258;109;155;150;152;152;155;39;127;152
Flor232;258;0;270;240;303;247;247;251;260;289;303
FlorPanc27;109;270;0;121;124;113;114;116;119;22;88
Giunta;155;240;121;0;41;4;5;9;156;115;157
ModD4;150;303;124;41;0;37;38;42;164;136;161
Pet1505;152;247;113;4;37;0;1;5;156;113;147
Pet1515;152;247;114;5;38;1;0;6;154;114;147
Pet1519;155;251;116;9;42;5;6;0;160;117;150
SGall463;39;260;119;156;164;156;154;160;0;137;159
VatS41-13a;127;289;22;115;136;113;114;117;137;0;90
VatS41-13;152;303;88;157;161;147;147;150;159;90;0
;;;;;;;;;;;
1503.1;0;255,94444;137,89087;145,19132;165,01944;141,73299;142,60799;146,42049;39;143,64087;173,12302
Flor232;255,94444;0;251,44643;258,74688;278,575;255,28854;256,16354;259,97604;262,05556;257,19643;286,67857
FlorPanc27;137,89087;251,44643;0;113,2933;133,12143;109,83497;110,70997;114,52247;144,00198;22;86,125
Giunta;145,19132;258,74688;113,2933;0;40,70313;4,14583;5,02083;8,83333;151,30243;119,0433;148,52545
ModD4;165,01944;278,575;133,12143;40,70313;0;37,24479;38,11979;41,93229;171,13056;138,87143;168,35357
Pet1505;141,73299;255,28854;109,83497;4,14583;37,24479;0;1;5,0625;147,8441;115,58497;145,06711
Pet1515;142,60799;256,16354;110,70997;5,02083;38,11979;1;0;5,9375;148,7191;116,45997;145,94211
Pet1519;146,42049;259,97604;114,52247;8,83333;41,93229;5,0625;5,9375;0;152,5316;120,27247;149,75461
SGall463;39;262,05556;144,00198;151,30243;171,13056;147,8441;148,7191;152,5316;0;149,75198;179,23413
VatS41-13a;143,64087;257,19643;22;119,0433;138,87143;115,58497;116,45997;120,27247;149,75198;0;91,875
VatS41-13;173,12302;286,67857;86,125;148,52545;168,35357;145,06711;145,94211;149,75461;179,23413;91,875;0
;;;;;;;;;;;
1503.1;0;2,05556;-28,89087;9,80868;-15,01944;10,26701;9,39201;8,57951;0;-16,64087;-21,12302
Flor232;2,05556;0;18,55357;-18,74688;24,425;-8,28854;-9,16354;-8,97604;-2,05556;31,80357;16,32143
FlorPanc27;-28,89087;18,55357;0;7,7067;-9,12143;3,16503;3,29003;1,47753;-25,00198;0;1,875
Giunta;9,80868;-18,74688;7,7067;0;0,29687;-0,14583;-0,02083;0,16667;4,69757;-4,0433;8,47455
ModD4;-15,01944;24,425;-9,12143;0,29687;0;-0,24479;-0,11979;0,06771;-7,13056;-2,87143;-7,35357
Pet1505;10,26701;-8,28854;3,16503;-0,14583;-0,24479;0;0;-0,0625;8,1559;-2,58497;1,93289
Pet1515;9,39201;-9,16354;3,29003;-0,02083;-0,11979;0;0;0,0625;5,2809;-2,45997;1,05789
Pet1519;8,57951;-8,97604;1,47753;0,16667;0,06771;-0,0625;0,0625;0;7,4684;-3,27247;0,24539
SGall463;0;-2,05556;-25,00198;4,69757;-7,13056;8,1559;5,2809;7,4684;0;-12,75198;-20,23413
VatS41-13a;-16,64087;31,80357;0;-4,0433;-2,87143;-2,58497;-2,45997;-3,27247;-12,75198;0;-1,875
VatS41-13;-21,12302;16,32143;1,875;8,47455;-7,35357;1,93289;1,05789;0,24539;-20,23413;-1,875;0
