;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13
1503.1;0;406;93;199;198;196;197;200;27;104;184
Flor232;406;0;356;377;414;389;389;396;409;367;374
FlorPanc27;93;356;0;117;124;117;118;120;95;19;114
Giunta;199;377;117;0;32;2;3;7;198;112;134
ModD4;198;414;124;32;0;30;31;35;201;127;140
Pet1505;196;389;117;2;30;0;1;5;194;112;132
Pet1515;197;389;118;3;31;1;0;6;195;113;132
Pet1519;200;396;120;7;35;5;6;0;198;115;137
SGall463;27;409;95;198;201;194;195;198;0;102;192
VatS41-13a;104;367;19;112;127;112;113;115;102;0;128
VatS41-13;184;374;114;134;140;132;132;137;192;128;0
;;;;;;;;;;;
1503.1;0;420,78968;97,04861;191,66416;204,15635;191,40114;192,20583;196,41677;27;99,17361;184,14385
Flor232;420,78968;0;346,75893;388,16615;400,65833;387,90313;388,70781;392,91875;421,56746;348,88393;380,64583
FlorPanc27;97,04861;346,75893;0;117,63341;130,1256;117,37039;118,17507;122,38601;97,82639;19;110,1131
Giunta;191,66416;388,16615;117,63341;0;30,74219;2,0599;2,86458;7,07552;192,44194;119,75841;131,49531
ModD4;204,15635;400,65833;130,1256;30,74219;0;30,47917;31,28385;35,49479;204,93413;132,2506;143,9875
Pet1505;191,40114;387,90313;117,37039;2,0599;30,47917;0;0,99219;5;192,17892;119,49539;131,23229
Pet1515;192,20583;388,70781;118,17507;2,86458;31,28385;0,99219;0;6,00781;192,98361;120,30007;132,03698
Pet1519;196,41677;392,91875;122,38601;7,07552;35,49479;5;6,00781;0;197,19454;124,51101;136,24792
SGall463;27;421,56746;97,82639;192,44194;204,93413;192,17892;192,98361;197,19454;0;99,95139;184,92163
VatS41-13a;99,17361;348,88393;19;119,75841;132,2506;119,49539;120,30007;124,51101;99,95139;0;112,2381
VatS41-13;184,14385;380,64583;110,1131;131,49531;143,9875;131,23229;132,03698;136,24792;184,92163;112,2381;0
;;;;;;;;;;;
1503.1;0;-14,78968;-4,04861;7,33584;-6,15635;4,59886;4,79417;3,58323;0;4,82639;-0,14385
Flor232;-14,78968;0;9,24107;-11,16615;13,34167;1,09687;0,29219;3,08125;-12,56746;18,11607;-6,64583
FlorPanc27;-4,04861;9,24107;0;-0,63341;-6,1256;-0,37039;-0,17507;-2,38601;-2,82639;0;3,8869
Giunta;7,33584;-11,16615;-0,63341;0;1,25781;-0,0599;0,13542;-0,07552;5,55806;-7,75841;2,50469
ModD4;-6,15635;13,34167;-6,1256;1,25781;0;-0,47917;-0,28385;-0,49479;-3,93413;-5,2506;-3,9875
Pet1505;4,59886;1,09687;-0,37039;-0,0599;-0,47917;0;0,00781;0;1,82108;-7,49539;0,76771
Pet1515;4,79417;0,29219;-0,17507;0,13542;-0,28385;0,00781;0;-0,00781;2,01639;-7,30007;-0,03698
Pet1519;3,58323;3,08125;-2,38601;-0,07552;-0,49479;0;-0,00781;0;0,80546;-9,51101;0,75208
SGall463;0;-12,56746;-2,82639;5,55806;-3,93413;1,82108;2,01639;0,80546;0;2,04861;7,07837
VatS41-13a;4,82639;18,11607;0;-7,75841;-5,2506;-7,49539;-7,30007;-9,51101;2,04861;0;15,7619
VatS41-13;-0,14385;-6,64583;3,8869;2,50469;-3,9875;0,76771;-0,03698;0,75208;7,07837;15,7619;0
