;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13
1503.1;0;209;74;116;121;116;116;116;4;84;126
Flor232;209;0;243;202;256;203;203;203;208;237;267
FlorPanc27;74;243;0;102;103;102;103;102;91;1;65
Giunta;116;202;102;0;8;1;2;2;116;99;113
ModD4;121;256;103;8;0;7;8;8;121;100;109
Pet1505;116;203;102;1;7;0;1;1;116;99;112
Pet1515;116;203;103;2;8;1;0;2;116;100;112
Pet1519;116;203;102;2;8;1;2;0;116;99;112
SGall463;4;208;91;116;121;116;116;116;0;87;126
VatS41-13a;84;237;1;99;100;99;100;99;87;0;68
VatS41-13;126;267;65;113;109;112;112;112;126;68;0
;;;;;;;;;;;
1503.1;0;207,44444;117,84028;108,75278;118,24236;110,36736;110,74236;109,90903;4;115,96528;134,40278
Flor232;207,44444;0;223,97917;214,89167;224,38125;216,50625;216,88125;216,04792;209,55556;222,10417;240,54167
FlorPanc27;117,84028;223,97917;0;95,5875;105,07708;97,20208;97,57708;96,74375;119,95139;1;67,4375
Giunta;108,75278;214,89167;95,5875;0;9,17708;1,30208;1,67708;0,84375;110,86389;93,7125;112,15
ModD4;118,24236;224,38125;105,07708;9,17708;0;7;8,4375;8,79167;120,35347;103,20208;121,63958
Pet1505;110,36736;216,50625;97,20208;1,30208;7;0;0,5625;0,91667;112,47847;95,32708;113,76458
Pet1515;110,74236;216,88125;97,57708;1,67708;8,4375;0,5625;0;1,29167;112,85347;95,70208;114,13958
Pet1519;109,90903;216,04792;96,74375;0,84375;8,79167;0,91667;1,29167;0;112,02014;94,86875;113,30625
SGall463;4;209,55556;119,95139;110,86389;120,35347;112,47847;112,85347;112,02014;0;118,07639;136,51389
VatS41-13a;115,96528;222,10417;1;93,7125;103,20208;95,32708;95,70208;94,86875;118,07639;0;65,5625
VatS41-13;134,40278;240,54167;67,4375;112,15;121,63958;113,76458;114,13958;113,30625;136,51389;65,5625;0
