;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13
1503.1;0;405;117;222;227;221;221;225;39;122;189
Flor232;405;0;393;389;438;387;387;391;403;393;390
FlorPanc27;117;393;0;133;134;131;132;135;124;28;129
Giunta;222;389;133;0;37;4;5;8;218;125;149
ModD4;227;438;134;37;0;33;34;37;221;133;156
Pet1505;221;387;131;4;33;0;1;4;217;123;147
Pet1515;221;387;132;5;34;1;0;5;217;124;147
Pet1519;225;391;135;8;37;4;5;0;219;127;151
SGall463;39;403;124;218;221;217;217;219;0;121;187
VatS41-13a;122;393;28;125;133;123;124;127;121;0;125
VatS41-13;189;390;129;149;156;147;147;151;187;125;0
;;;;;;;;;;;
1503.1;0;437,40079;124,47222;211,006;227,14663;207,97736;208,76642;211,96173;39;119,97222;200,29663
Flor232;437,40079;0;363,07143;396,81354;412,95417;393,7849;394,57396;397,76927;434,95635;358,57143;386,10417
FlorPanc27;124,47222;363,07143;0;136,67664;152,81726;133,64799;134,43705;137,63237;122,02778;28;125,96726
Giunta;211,006;396,81354;136,67664;0;36,32813;4,07552;4,86458;8,0599;208,56156;132,17664;147,63438
ModD4;227,14663;412,95417;152,81726;36,32813;0;33,29948;34,08854;37,28385;224,70218;148,31726;163,775
Pet1505;207,97736;393,7849;133,64799;4,07552;33,29948;0;1,00781;4;205,53291;129,14799;144,60573
Pet1515;208,76642;394,57396;134,43705;4,86458;34,08854;1,00781;0;4,99219;206,32197;129,93705;145,39479
Pet1519;211,96173;397,76927;137,63237;8,0599;37,28385;4;4,99219;0;209,51729;133,13237;148,5901
SGall463;39;434,95635;122,02778;208,56156;224,70218;205,53291;206,32197;209,51729;0;117,52778;197,85218
VatS41-13a;119,97222;358,57143;28;132,17664;148,31726;129,14799;129,93705;133,13237;117,52778;0;121,46726
VatS41-13;200,29663;386,10417;125,96726;147,63438;163,775;144,60573;145,39479;148,5901;197,85218;121,46726;0
