;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;FlorPanc27;VatS41-13
1503.1;0;155;150;152;152;155;39;127;109;152
Giunta;155;0;41;4;5;9;156;115;121;157
ModD4;150;41;0;37;38;42;164;136;124;161
Pet1505;152;4;37;0;1;5;156;113;113;147
Pet1515;152;5;38;1;0;6;154;114;114;147
Pet1519;155;9;42;5;6;0;160;117;116;150
SGall463;39;156;164;156;154;160;0;137;119;159
VatS41-13a;127;115;136;113;114;117;137;0;22;90
FlorPanc27;109;121;124;113;114;116;119;22;0;88
VatS41-13;152;157;161;147;147;150;159;90;88;0
;;;;;;;;;;
1503.1;0;152,44688;157,9625;148,38438;149,04063;152,60313;39;120,9494;117,09226;152,85417
Giunta;152,44688;0;41,32813;4;5,03125;9,15625;159,07188;120,72128;116,86414;152,62604
ModD4;157,9625;41,32813;0;37,26563;37,92188;41,48438;164,5875;126,2369;122,37976;158,14167
Pet1505;148,38438;4;37,26563;0;0,96875;5,09375;155,00938;116,65878;112,80164;148,56354
Pet1515;149,04063;5,03125;37,92188;0,96875;0;5,75;155,66563;117,31503;113,45789;149,21979
Pet1519;152,60313;9,15625;41,48438;5,09375;5,75;0;159,22813;120,87753;117,02039;152,78229
SGall463;39;159,07188;164,5875;155,00938;155,66563;159,22813;0;127,5744;123,71726;159,47917
VatS41-13a;120,9494;120,72128;126,2369;116,65878;117,31503;120,87753;127,5744;0;22;90,92857
FlorPanc27;117,09226;116,86414;122,37976;112,80164;113,45789;117,02039;123,71726;22;0;87,07143
VatS41-13;152,85417;152,62604;158,14167;148,56354;149,21979;152,78229;159,47917;90,92857;87,07143;0
;;;;;;;;;;
1503.1;0;2,55312;-7,9625;3,61562;2,95937;2,39687;0;6,0506;-8,09226;-0,85417
Giunta;2,55312;0;-0,32813;0;-0,03125;-0,15625;-3,07188;-5,72128;4,13586;4,37396
ModD4;-7,9625;-0,32813;0;-0,26563;0,07812;0,51562;-0,5875;9,7631;1,62024;2,85833
Pet1505;3,61562;0;-0,26563;0;0,03125;-0,09375;0,99062;-3,65878;0,19836;-1,56354
Pet1515;2,95937;-0,03125;0,07812;0,03125;0;0,25;-1,66563;-3,31503;0,54211;-2,21979
Pet1519;2,39687;-0,15625;0,51562;-0,09375;0,25;0;0,77187;-3,87753;-1,02039;-2,78229
SGall463;0;-3,07188;-0,5875;0,99062;-1,66563;0,77187;0;9,4256;-4,71726;-0,47917
VatS41-13a;6,0506;-5,72128;9,7631;-3,65878;-3,31503;-3,87753;9,4256;0;0;-0,92857
FlorPanc27;-8,09226;4,13586;1,62024;0,19836;0,54211;-1,02039;-4,71726;0;0;0,92857
VatS41-13;-0,85417;4,37396;2,85833;-1,56354;-2,21979;-2,78229;-0,47917;-0,92857;0,92857;0
