;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;FlorPanc27;VatS41-13
1503.1;0;143;143;136;136;148;26;107;101;147
Giunta;143;0;32;2;3;7;142;109;124;141
ModD4;143;32;0;30;31;35;153;115;125;142
Pet1505;136;2;30;0;1;5;137;108;118;139
Pet1515;136;3;31;1;0;6;138;109;119;139
Pet1519;148;7;35;5;6;0;139;111;121;142
SGall463;26;142;153;137;138;139;0;119;108;152
VatS41-13a;107;109;115;108;109;111;119;0;18;88
FlorPanc27;101;124;125;118;119;121;108;18;0;83
VatS41-13;147;141;142;139;139;142;152;88;83;0
;;;;;;;;;;
1503.1;0;139,0651;144,4375;136,76823;137,17188;141,61979;26;110,78571;116,71429;141,125
Giunta;139,0651;0;32,40885;2;3,2474;7,14844;142,4401;110,85082;116,77939;141,1901
ModD4;144,4375;32,40885;0;30,11198;30,51563;34,96354;147,8125;116,22321;122,15179;146,5625
Pet1505;136,76823;2;30,11198;0;0,95052;4,85156;140,14323;108,55394;114,48251;138,89323
Pet1515;137,17188;3,2474;30,51563;0,95052;0;5,80208;140,54688;108,95759;114,88616;139,29688
Pet1519;141,61979;7,14844;34,96354;4,85156;5,80208;0;144,99479;113,40551;119,33408;143,74479
SGall463;26;142,4401;147,8125;140,14323;140,54688;144,99479;0;114,16071;120,08929;144,5
VatS41-13a;110,78571;110,85082;116,22321;108,55394;108,95759;113,40551;114,16071;0;18;82,53571
FlorPanc27;116,71429;116,77939;122,15179;114,48251;114,88616;119,33408;120,08929;18;0;88,46429
VatS41-13;141,125;141,1901;146,5625;138,89323;139,29688;143,74479;144,5;82,53571;88,46429;0
