;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;FlorPanc27;VatS41-13
1503.1;0;199;198;196;197;200;27;104;93;184
Giunta;199;0;32;2;3;7;198;112;117;134
ModD4;198;32;0;30;31;35;201;127;124;140
Pet1505;196;2;30;0;1;5;194;112;117;132
Pet1515;197;3;31;1;0;6;195;113;118;132
Pet1519;200;7;35;5;6;0;198;115;120;137
SGall463;27;198;201;194;195;198;0;102;95;192
VatS41-13a;104;112;127;112;113;115;102;0;19;128
FlorPanc27;93;117;124;117;118;120;95;19;0;114
VatS41-13;184;134;140;132;132;137;192;128;114;0
;;;;;;;;;;
1503.1;0;194,28103;201,93988;192,3904;193,3279;197,07269;27;100,03571;93,75;198,20238
Giunta;194,28103;0;32,01302;2,03125;2,96875;6,94792;194,78103;115,91198;115,9596;133,47865
ModD4;201,93988;32,01302;0;30,1224;31,0599;34,80469;202,43988;123,57083;123,61845;141,1375
Pet1505;192,3904;2,03125;30,1224;0;1;5,05729;192,8904;114,02135;114,06897;131,58802
Pet1515;193,3279;2,96875;31,0599;1;0;5,99479;193,8279;114,95885;115,00647;132,52552
Pet1519;197,07269;6,94792;34,80469;5,05729;5,99479;0;197,57269;118,70365;118,75126;136,27031
SGall463;27;194,78103;202,43988;192,8904;193,8279;197,57269;0;100,53571;94,25;198,70238
VatS41-13a;100,03571;115,91198;123,57083;114,02135;114,95885;118,70365;100,53571;0;21,71429;119,83333
FlorPanc27;93,75;115,9596;123,61845;114,06897;115,00647;118,75126;94,25;21,71429;0;119,88095
VatS41-13;198,20238;133,47865;141,1375;131,58802;132,52552;136,27031;198,70238;119,83333;119,88095;0
;;;;;;;;;;
1503.1;0;4,71897;-3,93988;3,6096;3,6721;2,92731;0;3,96429;-0,75;-14,20238
Giunta;4,71897;0;-0,01302;-0,03125;0,03125;0,05208;3,21897;-3,91198;1,0404;0,52135
ModD4;-3,93988;-0,01302;0;-0,1224;-0,0599;0,19531;-1,43988;3,42917;0,38155;-1,1375
Pet1505;3,6096;-0,03125;-0,1224;0;0;-0,05729;1,1096;-2,02135;2,93103;0,41198
Pet1515;3,6721;0,03125;-0,0599;0;0;0,00521;1,1721;-1,95885;2,99353;-0,52552
Pet1519;2,92731;0,05208;0,19531;-0,05729;0,00521;0;0,42731;-3,70365;1,24874;0,72969
SGall463;0;3,21897;-1,43988;1,1096;1,1721;0,42731;0;1,46429;0,75;-6,70238
VatS41-13a;3,96429;-3,91198;3,42917;-2,02135;-1,95885;-3,70365;1,46429;0;-2,71429;8,16667
FlorPanc27;-0,75;1,0404;0,38155;2,93103;2,99353;1,24874;0,75;-2,71429;0;-5,88095
VatS41-13;-14,20238;0,52135;-1,1375;0,41198;-0,52552;0,72969;-6,70238;8,16667;-5,88095;0
