;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;FlorPanc27;VatS41-13
1503.1;0;116;121;116;116;116;4;84;74;126
Giunta;116;0;8;1;2;2;116;99;102;113
ModD4;121;8;0;7;8;8;121;100;103;109
Pet1505;116;1;7;0;1;1;116;99;102;112
Pet1515;116;2;8;1;0;2;116;100;103;112
Pet1519;116;2;8;1;2;0;116;99;102;112
SGall463;4;116;121;116;116;116;0;87;91;126
VatS41-13a;84;99;100;99;100;99;87;0;1;68
FlorPanc27;74;102;103;102;103;102;91;1;0;65
VatS41-13;126;113;109;112;112;112;126;68;65;0
;;;;;;;;;;
1503.1;0;115,67188;117,25;114,76563;115,625;115,4375;4;95,14881;96,43452;111,70833
Giunta;115,67188;0;8,04688;1;1,95313;1,98438;118,17188;97,57068;98,8564;114,13021
ModD4;117,25;8,04688;0;7,14063;8;7,8125;119,75;99,14881;100,43452;115,70833
Pet1505;114,76563;1;7,14063;0;1,04688;1,07813;117,26563;96,66443;97,95015;113,22396
Pet1515;115,625;1,95313;8;1,04688;0;1,9375;118,125;97,52381;98,80952;114,08333
Pet1519;115,4375;1,98438;7,8125;1,07813;1,9375;0;117,9375;97,33631;98,62202;113,89583
SGall463;4;118,17188;119,75;117,26563;118,125;117,9375;0;97,64881;98,93452;114,20833
VatS41-13a;95,14881;97,57068;99,14881;96,66443;97,52381;97,33631;97,64881;0;1;65,85714
FlorPanc27;96,43452;98,8564;100,43452;97,95015;98,80952;98,62202;98,93452;1;0;67,14286
VatS41-13;111,70833;114,13021;115,70833;113,22396;114,08333;113,89583;114,20833;65,85714;67,14286;0
