;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;FlorPanc27;VatS41-13
1503.1;0;222;227;221;221;225;39;122;117;189
Giunta;222;0;37;4;5;8;218;125;133;149
ModD4;227;37;0;33;34;37;221;133;134;156
Pet1505;221;4;33;0;1;4;217;123;131;147
Pet1515;221;5;34;1;0;5;217;124;132;147
Pet1519;225;8;37;4;5;0;219;127;135;151
SGall463;39;218;221;217;217;219;0;121;124;187
VatS41-13a;122;125;133;123;124;127;121;0;28;125
FlorPanc27;117;133;134;131;132;135;124;28;0;129
VatS41-13;189;149;156;147;147;151;187;125;129;0
;;;;;;;;;;
1503.1;0;219,38542;224,29167;216,41146;217,23958;220,38021;39;119,67857;124,82143;201,79167
Giunta;219,38542;0;36,28125;4,06771;4,89583;8,03646;216,88542;129,48065;134,62351;149,84375
ModD4;224,29167;36,28125;0;33,30729;34,13542;37,27604;221,79167;134,3869;139,52976;154,75
Pet1505;216,41146;4,06771;33,30729;0;1,01563;4;213,91146;126,5067;131,64955;146,86979
Pet1515;217,23958;4,89583;34,13542;1,01563;0;4,98438;214,73958;127,33482;132,47768;147,69792
Pet1519;220,38021;8,03646;37,27604;4;4,98438;0;217,88021;130,47545;135,6183;150,83854
SGall463;39;216,88542;221,79167;213,91146;214,73958;217,88021;0;117,17857;122,32143;199,29167
VatS41-13a;119,67857;129,48065;134,3869;126,5067;127,33482;130,47545;117,17857;0;28;111,8869
FlorPanc27;124,82143;134,62351;139,52976;131,64955;132,47768;135,6183;122,32143;28;0;117,02976
VatS41-13;201,79167;149,84375;154,75;146,86979;147,69792;150,83854;199,29167;111,8869;117,02976;0
