;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41
Giunta;0;86;12;14;17;105
ModD4;86;0;84;86;89;165
Pet1505;12;84;0;2;5;100
Pet1515;14;86;2;0;7;102
Pet1519;17;89;5;7;0;105
VatS41;105;165;100;102;105;0
;;;;;;
Giunta;0;87,125;12;14;17;103,875
ModD4;87,125;0;83,625;85,625;88,625;165
Pet1505;12;83,625;0;2;5;100,375
Pet1515;14;85,625;2;0;7;102,375
Pet1519;17;88,625;5;7;0;105,375
VatS41;103,875;165;100,375;102,375;105,375;0
;;;;;;
Giunta;0;-1,125;0;0;0;1,125
ModD4;-1,125;0;0,375;0,375;0,375;0
Pet1505;0;0,375;0;0;0;-0,375
Pet1515;0;0,375;0;0;0;-0,375
Pet1519;0;0,375;0;0;0;-0,375
VatS41;1,125;0;-0,375;-0,375;-0,375;0
