;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41
Giunta;0;76;6;8;11;63
ModD4;76;0;76;78;81;106
Pet1505;6;76;0;2;5;57
Pet1515;8;78;2;0;7;59
Pet1519;11;81;5;7;0;62
VatS41;63;106;57;59;62;0
;;;;;;
Giunta;0;78,25;6;8;11;60,75
ModD4;78,25;0;75,25;77,25;80,25;106
Pet1505;6;75,25;0;2;5;57,75
Pet1515;8;77,25;2;0;7;59,75
Pet1519;11;80,25;5;7;0;62,75
VatS41;60,75;106;57,75;59,75;62,75;0
;;;;;;
Giunta;0;-2,25;0;0;0;2,25
ModD4;-2,25;0;0,75;0,75;0,75;0
Pet1505;0;0,75;0;0;0;-0,75
Pet1515;0;0,75;0;0;0;-0,75
Pet1519;0;0,75;0;0;0;-0,75
VatS41;2,25;0;-0,75;-0,75;-0,75;0
