;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41
Giunta;0;77;6;8;11;62
ModD4;77;0;77;79;82;106
Pet1505;6;77;0;2;5;56
Pet1515;8;79;2;0;7;58
Pet1519;11;82;5;7;0;61
VatS41;62;106;56;58;61;0
;;;;;;
Giunta;0;79,25;6;8;11;59,75
ModD4;79,25;0;76,25;78,25;81,25;106
Pet1505;6;76,25;0;2;5;56,75
Pet1515;8;78,25;2;0;7;58,75
Pet1519;11;81,25;5;7;0;61,75
VatS41;59,75;106;56,75;58,75;61,75;0
;;;;;;
Giunta;0;-2,25;0;0;0;2,25
ModD4;-2,25;0;0,75;0,75;0,75;0
Pet1505;0;0,75;0;0;0;-0,75
Pet1515;0;0,75;0;0;0;-0,75
Pet1519;0;0,75;0;0;0;-0,75
VatS41;2,25;0;-0,75;-0,75;-0,75;0
