;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41
Giunta;0;85;8;10;12;109
ModD4;85;0;83;85;87;147
Pet1505;8;83;0;2;4;104
Pet1515;10;85;2;0;6;106
Pet1519;12;87;4;6;0;108
VatS41;109;147;104;106;108;0
;;;;;;
Giunta;0;86,125;8;10;12;107,875
ModD4;86,125;0;82,625;84,625;86,625;147
Pet1505;8;82,625;0;2;4;104,375
Pet1515;10;84,625;2;0;6;106,375
Pet1519;12;86,625;4;6;0;108,375
VatS41;107,875;147;104,375;106,375;108,375;0
;;;;;;
Giunta;0;-1,125;0;0;0;1,125
ModD4;-1,125;0;0,375;0,375;0,375;0
Pet1505;0;0,375;0;0;0;-0,375
Pet1515;0;0,375;0;0;0;-0,375
Pet1519;0;0,375;0;0;0;-0,375
VatS41;1,125;0;-0,375;-0,375;-0,375;0
