;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41
Giunta;0;29;5;7;6;14
ModD4;29;0;30;32;31;38
Pet1505;5;30;0;2;1;9
Pet1515;7;32;2;0;3;11
Pet1519;6;31;1;3;0;10
VatS41;14;38;9;11;10;0
;;;;;;
Giunta;0;29;5,125;7,125;6,125;13,625
ModD4;29;0;29,875;31,875;30,875;38,375
Pet1505;5,125;29,875;0;2;1;9
Pet1515;7,125;31,875;2;0;3;11
Pet1519;6,125;30,875;1;3;0;10
VatS41;13,625;38,375;9;11;10;0
;;;;;;
Giunta;0;0;-0,125;-0,125;-0,125;0,375
ModD4;0;0;0,125;0,125;0,125;-0,375
Pet1505;-0,125;0,125;0;0;0;0
Pet1515;-0,125;0,125;0;0;0;0
Pet1519;-0,125;0,125;0;0;0;0
VatS41;0,375;-0,375;0;0;0;0
