;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41
Giunta;0;28;5;7;6;15
ModD4;28;0;29;31;30;38
Pet1505;5;29;0;2;1;10
Pet1515;7;31;2;0;3;12
Pet1519;6;30;1;3;0;11
VatS41;15;38;10;12;11;0
;;;;;;
Giunta;0;28;5,125;7,125;6,125;14,625
ModD4;28;0;28,875;30,875;29,875;38,375
Pet1505;5,125;28,875;0;2;1;10
Pet1515;7,125;30,875;2;0;3;12
Pet1519;6,125;29,875;1;3;0;11
VatS41;14,625;38,375;10;12;11;0
;;;;;;
Giunta;0;0;-0,125;-0,125;-0,125;0,375
ModD4;0;0;0,125;0,125;0,125;-0,375
Pet1505;-0,125;0,125;0;0;0;0
Pet1515;-0,125;0,125;0;0;0;0
Pet1519;-0,125;0,125;0;0;0;0
VatS41;0,375;-0,375;0;0;0;0
