;1503.1;1508.3;FlorPanc27;SGall463;VatS41-13a
1503.1;0;353;243;66;269
1508.3;353;0;205;337;229
FlorPanc27;243;205;0;263;52
SGall463;66;337;263;0;288
VatS41-13a;269;229;52;288;0
;;;;;
1503.1;0;341,16667;249,54167;66;274,29167
1508.3;341,16667;0;204,625;348,83333;229,375
FlorPanc27;249,54167;204,625;0;257,20833;52
SGall463;66;348,83333;257,20833;0;281,95833
VatS41-13a;274,29167;229,375;52;281,95833;0
;;;;;
1503.1;0;11,83333;-6,54167;0;-5,29167
1508.3;11,83333;0;0,375;-11,83333;-0,375
FlorPanc27;-6,54167;0,375;0;5,79167;0
SGall463;0;-11,83333;5,79167;0;6,04167
VatS41-13a;-5,29167;-0,375;0;6,04167;0
