;1503.1;1508.3;FlorPanc27;SGall463;VatS41-13a
1503.1;0;351;208;51;234
1508.3;351;0;210;356;224
FlorPanc27;208;210;0;236;43
SGall463;51;356;236;0;245
VatS41-13a;234;224;43;245;0
;;;;;
1503.1;0;346,16667;215,54167;51;231,29167
1508.3;346,16667;0;209,125;360,83333;224,875
FlorPanc27;215,54167;209,125;0;230,20833;43
SGall463;51;360,83333;230,20833;0;245,95833
VatS41-13a;231,29167;224,875;43;245,95833;0
;;;;;
1503.1;0;4,83333;-7,54167;0;2,70833
1508.3;4,83333;0;0,875;-4,83333;-0,875
FlorPanc27;-7,54167;0,875;0;5,79167;0
SGall463;0;-4,83333;5,79167;0;-0,95833
VatS41-13a;2,70833;-0,875;0;-0,95833;0
