;1503.1;1508.3;FlorPanc27;SGall463;VatS41-13a
1503.1;0;504;196;54;209
1508.3;504;0;384;502;388
FlorPanc27;196;384;0;196;42
SGall463;54;502;196;0;209
VatS41-13a;209;388;42;209;0
;;;;;
1503.1;0;503,33333;198,58333;54;207,08333
1508.3;503,33333;0;381,75;502,66667;390,25
FlorPanc27;198,58333;381,75;0;197,91667;42
SGall463;54;502,66667;197,91667;0;206,41667
VatS41-13a;207,08333;390,25;42;206,41667;0
;;;;;
1503.1;0;0,66667;-2,58333;0;1,91667
1508.3;0,66667;0;2,25;-0,66667;-2,25
FlorPanc27;-2,58333;2,25;0;-1,91667;0
SGall463;0;-0,66667;-1,91667;0;2,58333
VatS41-13a;1,91667;-2,25;0;2,58333;0
