;1503.1;1508.3;FlorPanc27;SGall463;VatS41-13a
1503.1;0;439;236;73;246
1508.3;439;0;361;444;367
FlorPanc27;236;361;0;243;53
SGall463;73;444;243;0;247
VatS41-13a;246;367;53;247;0
;;;;;
1503.1;0;439,33333;237,58333;73;244,08333
1508.3;439,33333;0;360,75;443,66667;367,25
FlorPanc27;237,58333;360,75;0;241,91667;53
SGall463;73;443,66667;241,91667;0;248,41667
VatS41-13a;244,08333;367,25;53;248,41667;0
;;;;;
1503.1;0;-0,33333;-1,58333;0;1,91667
1508.3;-0,33333;0;0,25;0,33333;-0,25
FlorPanc27;-1,58333;0,25;0;1,08333;0
SGall463;0;0,33333;1,08333;0;-1,41667
VatS41-13a;1,91667;-0,25;0;-1,41667;0
