;1503.1;1508.3;FlorPanc27;SGall463;VatS41-13a
1503.1;0;268;182;8;166
1508.3;268;0;178;270;184
FlorPanc27;182;178;0;201;16
SGall463;8;270;201;0;168
VatS41-13a;166;184;16;168;0
;;;;;
1503.1;0;265,16667;180,04167;8;170,79167
1508.3;265,16667;0;185,625;272,83333;176,375
FlorPanc27;180,04167;185,625;0;187,70833;16
SGall463;8;272,83333;187,70833;0;178,45833
VatS41-13a;170,79167;176,375;16;178,45833;0
;;;;;
1503.1;0;2,83333;1,95833;0;-4,79167
1508.3;2,83333;0;-7,625;-2,83333;7,625
FlorPanc27;1,95833;-7,625;0;13,29167;0
SGall463;0;-2,83333;13,29167;0;-10,45833
VatS41-13a;-4,79167;7,625;0;-10,45833;0
