;1503.1;1508.3;FlorPanc27;SGall463;VatS41-13a
1503.1;0;410;153;8;153
1508.3;410;0;307;412;309
FlorPanc27;153;307;0;153;14
SGall463;8;412;153;0;156
VatS41-13a;153;309;14;156;0
;;;;;
1503.1;0;410,16667;152,04167;8;153,79167
1508.3;410,16667;0;307,125;411,83333;308,875
FlorPanc27;152,04167;307,125;0;153,70833;14
SGall463;8;411,83333;153,70833;0;155,45833
VatS41-13a;153,79167;308,875;14;155,45833;0
;;;;;
1503.1;0;-0,16667;0,95833;0;-0,79167
1508.3;-0,16667;0;-0,125;0,16667;0,125
FlorPanc27;0,95833;-0,125;0;-0,70833;0
SGall463;0;0,16667;-0,70833;0;0,54167
VatS41-13a;-0,79167;0,125;0;0,54167;0
