;1503.1;1508.3;FlorPanc27_aft;VatS41-13a;FlorPanc27_bef
1503.1;0;777;523;550;523
1508.3;777;0;449;484;453
FlorPanc27_aft;523;449;0;107;1
VatS41-13a;550;484;107;0;111
FlorPanc27_bef;523;453;1;111;0
;;;;;
1503.1;0;777;520,5;552;523,5
1508.3;777;0;450,5;482;453,5
FlorPanc27_aft;520,5;450,5;0;107,5;1
VatS41-13a;552;482;107,5;0;110,5
FlorPanc27_bef;523,5;453,5;1;110,5;0
;;;;;
1503.1;0;0;2,5;-2;-0,5
1508.3;0;0;-1,5;2;-0,5
FlorPanc27_aft;2,5;-1,5;0;-0,5;0
VatS41-13a;-2;2;-0,5;0;0,5
FlorPanc27_bef;-0,5;-0,5;0;0,5;0
