;1503.1;1508.3;FlorPanc27_aft;VatS41-13a;FlorPanc27_bef
1503.1;0;791;445;487;443
1508.3;791;0;461;488;461
FlorPanc27_aft;445;461;0;88;1
VatS41-13a;487;488;88;0;92
FlorPanc27_bef;443;461;1;92;0
;;;;;
1503.1;0;791;445,91667;481,66667;447,41667
1508.3;791;0;457,58333;493,33333;459,08333
FlorPanc27_aft;445,91667;457,58333;0;89,25;1
VatS41-13a;481,66667;493,33333;89,25;0;90,75
FlorPanc27_bef;447,41667;459,08333;1;90,75;0
;;;;;
1503.1;0;0;-0,91667;5,33333;-4,41667
1508.3;0;0;3,41667;-5,33333;1,91667
FlorPanc27_aft;-0,91667;3,41667;0;-1,25;0
VatS41-13a;5,33333;-5,33333;-1,25;0;1,25
FlorPanc27_bef;-4,41667;1,91667;0;1,25;0
