;1503.1;1508.3;FlorPanc27_aft;VatS41-13a;FlorPanc27_bef
1503.1;0;1014;393;417;394
1508.3;1014;0;764;780;765
FlorPanc27_aft;393;764;0;87;1
VatS41-13a;417;780;87;0;88
FlorPanc27_bef;394;765;1;88;0
;;;;;
1503.1;0;1014;394,33333;414,33333;395,33333
1508.3;1014;0;762,66667;782,66667;763,66667
FlorPanc27_aft;394,33333;762,66667;0;87;1
VatS41-13a;414,33333;782,66667;87;0;88
FlorPanc27_bef;395,33333;763,66667;1;88;0
;;;;;
1503.1;0;0;-1,33333;2,66667;-1,33333
1508.3;0;0;1,33333;-2,66667;1,33333
FlorPanc27_aft;-1,33333;1,33333;0;0;0
VatS41-13a;2,66667;-2,66667;0;0;0
FlorPanc27_bef;-1,33333;1,33333;0;0;0
