;1503.1;1508.3;FlorPanc27_aft;VatS41-13a;FlorPanc27_bef
1503.1;0;600;317;346;319
1508.3;600;0;362;354;362
FlorPanc27_aft;317;362;0;30;1
VatS41-13a;346;354;30;0;34
FlorPanc27_bef;319;362;1;34;0
;;;;;
1503.1;0;600;322,75;334;325,25
1508.3;600;0;354,75;366;357,25
FlorPanc27_aft;322,75;354,75;0;30,75;1
VatS41-13a;334;366;30,75;0;33,25
FlorPanc27_bef;325,25;357,25;1;33,25;0
;;;;;
1503.1;0;0;-5,75;12;-6,25
1508.3;0;0;7,25;-12;4,75
FlorPanc27_aft;-5,75;7,25;0;-0,75;0
VatS41-13a;12;-12;-0,75;0;0,75
FlorPanc27_bef;-6,25;4,75;0;0,75;0
