;1503.1;1508.3;FlorPanc27_aft;VatS41-13a;FlorPanc27_bef
1503.1;0;850;297;301;298
1508.3;850;0;619;622;620
FlorPanc27_aft;297;619;0;28;1
VatS41-13a;301;622;28;0;29
FlorPanc27_bef;298;620;1;29;0
;;;;;
1503.1;0;850;297,16667;300,66667;298,16667
1508.3;850;0;618,83333;622,33333;619,83333
FlorPanc27_aft;297,16667;618,83333;0;28;1
VatS41-13a;300,66667;622,33333;28;0;29
FlorPanc27_bef;298,16667;619,83333;1;29;0
;;;;;
1503.1;0;0;-0,16667;0,33333;-0,16667
1508.3;0;0;0,16667;-0,33333;0,16667
FlorPanc27_aft;-0,16667;0,16667;0;0;0
VatS41-13a;0,33333;-0,33333;0;0;0
FlorPanc27_bef;-0,16667;0,16667;0;0;0
