;1503.1;1508.3;FlorPanc27_aft;VatS41-13a;FlorPanc27_bef
1503.1;0;888;465;484;466
1508.3;888;0;711;726;710
FlorPanc27_aft;465;711;0;102;1
VatS41-13a;484;726;102;0;103
FlorPanc27_bef;466;710;1;103;0
;;;;;
1503.1;0;888;465,75;483;466,25
1508.3;888;0;709,75;727;710,25
FlorPanc27_aft;465,75;709,75;0;102,25;1
VatS41-13a;483;727;102,25;0;102,75
FlorPanc27_bef;466,25;710,25;1;102,75;0
;;;;;
1503.1;0;0;-0,75;1;-0,25
1508.3;0;0;1,25;-1;-0,25
FlorPanc27_aft;-0,75;1,25;0;-0,25;0
VatS41-13a;1;-1;-0,25;0;0,25
FlorPanc27_bef;-0,25;-0,25;0;0,25;0
