;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a
1503.1;0;258;109;155;150;152;152;155;39;164
Flor232;258;0;270;240;303;247;247;251;260;252
FlorPanc27;109;270;0;121;124;113;114;116;119;133
Giunta;155;240;121;0;41;4;5;9;156;50
ModD4;150;303;124;41;0;37;38;42;164;84
Pet1505;152;247;113;4;37;0;1;5;156;46
Pet1515;152;247;114;5;38;1;0;6;154;47
Pet1519;155;251;116;9;42;5;6;0;160;51
SGall463;39;260;119;156;164;156;154;160;0;161
VatS41-13+13a;164;252;133;50;84;46;47;51;161;0
;;;;;;;;;;
1503.1;0;277,13393;111,8125;143,7756;177,78341;141,7782;142,7157;146,63757;39;153,3631
Flor232;277,13393;0;249,67857;249,43333;283,44115;247,43594;248,37344;252,29531;281,50893;259,02083
FlorPanc27;111,8125;249,67857;0;116,32024;150,32805;114,32284;115,26034;119,18222;116,1875;125,90774
Giunta;143,7756;249,43333;116,32024;0;40,30469;4,29948;5,23698;9,15885;148,1506;48,8375
ModD4;177,78341;283,44115;150,32805;40,30469;0;37,06771;38,00521;41,92708;182,15841;82,84531
Pet1505;141,7782;247,43594;114,32284;4,29948;37,06771;0;1;5,03125;146,1532;46,8401
Pet1515;142,7157;248,37344;115,26034;5,23698;38,00521;1;0;5,96875;147,0907;47,7776
Pet1519;146,63757;252,29531;119,18222;9,15885;41,92708;5,03125;5,96875;0;151,01257;51,69948
SGall463;39;281,50893;116,1875;148,1506;182,15841;146,1532;147,0907;151,01257;0;157,7381
VatS41-13+13a;153,3631;259,02083;125,90774;48,8375;82,84531;46,8401;47,7776;51,69948;157,7381;0
