;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a
1503.1;0;256;101;143;143;136;136;148;26;159
Flor232;256;0;260;244;322;247;246;249;252;256
FlorPanc27;101;260;0;124;125;118;119;121;108;121
Giunta;143;244;124;0;32;2;3;7;142;33
ModD4;143;322;125;32;0;30;31;35;153;47
Pet1505;136;247;118;2;30;0;1;5;137;31
Pet1515;136;246;119;3;31;1;0;6;138;32
Pet1519;148;249;121;7;35;5;6;0;139;36
SGall463;26;252;108;142;153;137;138;139;0;145
VatS41-13+13a;159;256;121;33;47;31;32;36;145;0
;;;;;;;;;;
1503.1;0;266,46429;105;136,39189;163,76429;134,42314;135,29814;139,13147;26;141,52679
Flor232;266,46429;0;248,03571;255,3026;282,675;253,33385;254,20885;258,04219;265,46429;260,4375
FlorPanc27;105;248,03571;0;117,96332;145,33571;115,99457;116,86957;120,7029;104;123,09821
Giunta;136,39189;255,3026;117,96332;0;32,08073;2;2,98438;7,02083;135,39189;30,3901
ModD4;163,76429;282,675;145,33571;32,08073;0;30,11198;30,98698;34,82031;162,76429;57,7625
Pet1505;134,42314;253,33385;115,99457;2;30,11198;0;1,01563;5,05208;133,42314;28,42135
Pet1515;135,29814;254,20885;116,86957;2,98438;30,98698;1,01563;0;5,92708;134,29814;29,29635
Pet1519;139,13147;258,04219;120,7029;7,02083;34,82031;5,05208;5,92708;0;138,13147;33,12969
SGall463;26;265,46429;104;135,39189;162,76429;133,42314;134,29814;138,13147;0;140,52679
VatS41-13+13a;141,52679;260,4375;123,09821;30,3901;57,7625;28,42135;29,29635;33,12969;140,52679;0
;;;;;;;;;;
1503.1;0;-10,46429;-4;6,60811;-20,76429;1,57686;0,70186;8,86853;0;17,47321
Flor232;-10,46429;0;11,96429;-11,3026;39,325;-6,33385;-8,20885;-9,04219;-13,46429;-4,4375
FlorPanc27;-4;11,96429;0;6,03668;-20,33571;2,00543;2,13043;0,2971;4;-2,09821
Giunta;6,60811;-11,3026;6,03668;0;-0,08073;0;0,01562;-0,02083;6,60811;2,6099
ModD4;-20,76429;39,325;-20,33571;-0,08073;0;-0,11198;0,01302;0,17969;-9,76429;-10,7625
Pet1505;1,57686;-6,33385;2,00543;0;-0,11198;0;-0,01563;-0,05208;3,57686;2,57865
Pet1515;0,70186;-8,20885;2,13043;0,01562;0,01302;-0,01563;0;0,07292;3,70186;2,70365
Pet1519;8,86853;-9,04219;0,2971;-0,02083;0,17969;-0,05208;0,07292;0;0,86853;2,87031
SGall463;0;-13,46429;4;6,60811;-9,76429;3,57686;3,70186;0,86853;0;4,47321
VatS41-13+13a;17,47321;-4,4375;-2,09821;2,6099;-10,7625;2,57865;2,70365;2,87031;4,47321;0
