;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a
1503.1;0;406;93;199;198;196;197;200;27;205
Flor232;406;0;356;377;414;389;389;396;409;386
FlorPanc27;93;356;0;117;124;117;118;120;95;122
Giunta;199;377;117;0;32;2;3;7;198;32
ModD4;198;414;124;32;0;30;31;35;201;46
Pet1505;196;389;117;2;30;0;1;5;194;30
Pet1515;197;389;118;3;31;1;0;6;195;31
Pet1519;200;396;120;7;35;5;6;0;198;35
SGall463;27;409;95;198;201;194;195;198;0;205
VatS41-13+13a;205;386;122;32;46;30;31;35;205;0
;;;;;;;;;;
1503.1;0;419,29464;93,9375;192,71079;208,64048;192,48943;193,41912;197,50506;27;196,00298
Flor232;419,29464;0;344,14286;387,74948;403,67917;387,52812;388,45781;392,54375;419,41964;391,04167
FlorPanc27;93,9375;344,14286;0;117,559;133,48869;117,33765;118,26734;122,35327;94,0625;120,85119
Giunta;192,71079;387,74948;117,559;0;30,67969;2,01823;2,94792;7,03385;192,83579;30,55781
ModD4;208,64048;403,67917;133,48869;30,67969;0;30,45833;31,38802;35,47396;208,76548;46,4875
Pet1505;192,48943;387,52812;117,33765;2,01823;30,45833;0;0,99219;5;192,61443;30,33646
Pet1515;193,41912;388,45781;118,26734;2,94792;31,38802;0,99219;0;6,00781;193,54412;31,26615
Pet1519;197,50506;392,54375;122,35327;7,03385;35,47396;5;6,00781;0;197,63006;35,35208
SGall463;27;419,41964;94,0625;192,83579;208,76548;192,61443;193,54412;197,63006;0;196,12798
VatS41-13+13a;196,00298;391,04167;120,85119;30,55781;46,4875;30,33646;31,26615;35,35208;196,12798;0
;;;;;;;;;;
1503.1;0;-13,29464;-0,9375;6,28921;-10,64048;3,51057;3,58088;2,49494;0;8,99702
Flor232;-13,29464;0;11,85714;-10,74948;10,32083;1,47188;0,54219;3,45625;-10,41964;-5,04167
FlorPanc27;-0,9375;11,85714;0;-0,559;-9,48869;-0,33765;-0,26734;-2,35327;0,9375;1,14881
Giunta;6,28921;-10,74948;-0,559;0;1,32031;-0,01823;0,05208;-0,03385;5,16421;1,44219
ModD4;-10,64048;10,32083;-9,48869;1,32031;0;-0,45833;-0,38802;-0,47396;-7,76548;-0,4875
Pet1505;3,51057;1,47188;-0,33765;-0,01823;-0,45833;0;0,00781;0;1,38557;-0,33646
Pet1515;3,58088;0,54219;-0,26734;0,05208;-0,38802;0,00781;0;-0,00781;1,45588;-0,26615
Pet1519;2,49494;3,45625;-2,35327;-0,03385;-0,47396;0;-0,00781;0;0,36994;-0,35208
SGall463;0;-10,41964;0,9375;5,16421;-7,76548;1,38557;1,45588;0,36994;0;8,87202
VatS41-13+13a;8,99702;-5,04167;1,14881;1,44219;-0,4875;-0,33646;-0,26615;-0,35208;8,87202;0
