;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a
1503.1;0;209;74;116;121;116;116;116;4;118
Flor232;209;0;243;202;256;203;203;203;208;212
FlorPanc27;74;243;0;102;103;102;103;102;91;102
Giunta;116;202;102;0;8;1;2;2;116;6
ModD4;121;256;103;8;0;7;8;8;121;12
Pet1505;116;203;102;1;7;0;1;1;116;5
Pet1515;116;203;103;2;8;1;0;2;116;6
Pet1519;116;203;102;2;8;1;2;0;116;6
SGall463;4;208;91;116;121;116;116;116;0;118
VatS41-13+13a;118;212;102;6;12;5;6;6;118;0
;;;;;;;;;;
1503.1;0;228,64286;81,5;106,68452;120,2189;111,9064;111,18765;109,60952;4;116,25015
Flor232;228,64286;0;221,85714;207,20833;220,74271;212,43021;211,71146;210,13333;230,64286;216,77396
FlorPanc27;81,5;221,85714;0;99,89881;113,43318;105,12068;104,40193;102,82381;83,5;109,46443
Giunta;106,68452;207,20833;99,89881;0;10,18438;1,87188;1,15313;-0,425;108,68452;6,21563
ModD4;120,2189;220,74271;113,43318;10,18438;0;7;9,09375;9,57813;122,2189;12,65625
Pet1505;111,9064;212,43021;105,12068;1,87188;7;0;0,78125;1,26563;113,9064;4,34375
Pet1515;111,18765;211,71146;104,40193;1,15313;9,09375;0,78125;0;0,54688;113,18765;5,125
Pet1519;109,60952;210,13333;102,82381;-0,425;9,57813;1,26563;0,54688;0;111,60952;5,60938
SGall463;4;230,64286;83,5;108,68452;122,2189;113,9064;113,18765;111,60952;0;118,25015
VatS41-13+13a;116,25015;216,77396;109,46443;6,21563;12,65625;4,34375;5,125;5,60938;118,25015;0
