;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a
1503.1;0;338;74;154;154;151;152;151;4;153
Flor232;338;0;295;322;344;323;322;323;338;319
FlorPanc27;74;295;0;86;92;87;88;87;75;89
Giunta;154;322;86;0;7;1;2;2;155;7
ModD4;154;344;92;7;0;6;7;7;155;12
Pet1505;151;323;87;1;6;0;1;1;152;6
Pet1515;152;322;88;2;7;1;0;2;153;7
Pet1519;151;323;87;2;7;1;2;0;152;7
SGall463;4;338;75;155;155;152;153;152;0;154
VatS41-13+13a;153;319;89;7;12;6;7;7;154;0
;;;;;;;;;;
1503.1;0;346,91964;74,0625;150,37902;156,4936;149,6811;149,93631;150,20193;4;148,08631
Flor232;346,91964;0;285,64286;324,87604;330,99063;324,17813;324,43333;324,69896;347,79464;322,58333
FlorPanc27;74,0625;285,64286;0;89,10223;95,21682;88,40432;88,65952;88,92515;74,9375;86,80952
Giunta;150,37902;324,87604;89,10223;0;7,40625;0,59375;1,91146;1,64583;151,25402;6,59271
ModD4;156,4936;330,99063;95,21682;7,40625;0;6;8,02604;7,76042;157,3686;12,70729
Pet1505;149,6811;324,17813;88,40432;0,59375;6;0;1,21354;0,94792;150,5561;5,89479
Pet1515;149,93631;324,43333;88,65952;1,91146;8,02604;1,21354;0;1,73438;150,81131;6,15
Pet1519;150,20193;324,69896;88,92515;1,64583;7,76042;0,94792;1,73438;0;151,07693;6,41563
SGall463;4;347,79464;74,9375;151,25402;157,3686;150,5561;150,81131;151,07693;0;148,96131
VatS41-13+13a;148,08631;322,58333;86,80952;6,59271;12,70729;5,89479;6,15;6,41563;148,96131;0
