;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;258;109;155;150;152;152;155;39;152
Flor232;258;0;270;240;303;247;247;251;260;303
FlorPanc27;109;270;0;121;124;113;114;116;119;88
Giunta;155;240;121;0;41;4;5;9;156;157
ModD4;150;303;124;41;0;37;38;42;164;161
Pet1505;152;247;113;4;37;0;1;5;156;147
Pet1515;152;247;114;5;38;1;0;6;154;147
Pet1519;155;251;116;9;42;5;6;0;160;150
SGall463;39;260;119;156;164;156;154;160;0;159
VatS41-13;152;303;88;157;161;147;147;150;159;0
;;;;;;;;;;
1503.1;0;276,14583;114,1875;142,33646;173,57083;140,49531;141,35469;145,22188;39;149,6875
Flor232;276,14583;0;248,79167;251,34063;282,575;249,49948;250,35885;254,22604;281,77083;284,29167
FlorPanc27;114,1875;248,79167;0;114,98229;146,21667;113,14115;114,00052;117,86771;119,8125;88
Giunta;142,33646;251,34063;114,98229;0;39,48438;4,13802;4,9974;8,86458;147,96146;150,48229
ModD4;173,57083;282,575;146,21667;39,48438;0;37,64323;38,5026;42,36979;179,19583;181,71667
Pet1505;140,49531;249,49948;113,14115;4,13802;37,64323;0;1;5,07031;146,12031;148,64115
Pet1515;141,35469;250,35885;114,00052;4,9974;38,5026;1;0;5,92969;146,97969;149,50052
Pet1519;145,22188;254,22604;117,86771;8,86458;42,36979;5,07031;5,92969;0;150,84688;153,36771
SGall463;39;281,77083;119,8125;147,96146;179,19583;146,12031;146,97969;150,84688;0;155,3125
VatS41-13;149,6875;284,29167;88;150,48229;181,71667;148,64115;149,50052;153,36771;155,3125;0
