;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;256;101;143;143;136;136;148;26;147
Flor232;256;0;260;244;322;247;246;249;252;309
FlorPanc27;101;260;0;124;125;118;119;121;108;83
Giunta;143;244;124;0;32;2;3;7;142;141
ModD4;143;322;125;32;0;30;31;35;153;142
Pet1505;136;247;118;2;30;0;1;5;137;139
Pet1515;136;246;119;3;31;1;0;6;138;139
Pet1519;148;249;121;7;35;5;6;0;139;142
SGall463;26;252;108;142;153;137;138;139;0;152
VatS41-13;147;309;83;141;142;139;139;142;152;0
;;;;;;;;;;
1503.1;0;253,3125;128,3244;133,50417;155,67083;131,41042;132,14479;135,74896;26;155,46726
Flor232;253,3125;0;255,34524;260,525;282,69167;258,43125;259,16563;262,76979;254,6875;282,4881
FlorPanc27;128,3244;255,34524;0;113,2369;135,40357;111,14315;111,87753;115,4817;129,6994;83
Giunta;133,50417;260,525;113,2369;0;32,30208;2;3,04688;7,15104;134,87917;140,37976
ModD4;155,67083;282,69167;135,40357;32,30208;0;30,20833;30,94271;34,54688;157,04583;162,54643
Pet1505;131,41042;258,43125;111,14315;2;30,20833;0;0,95313;5,05729;132,78542;138,28601
Pet1515;132,14479;259,16563;111,87753;3,04688;30,94271;0,95313;0;5,79167;133,51979;139,02039
Pet1519;135,74896;262,76979;115,4817;7,15104;34,54688;5,05729;5,79167;0;137,12396;142,62455
SGall463;26;254,6875;129,6994;134,87917;157,04583;132,78542;133,51979;137,12396;0;156,84226
VatS41-13;155,46726;282,4881;83;140,37976;162,54643;138,28601;139,02039;142,62455;156,84226;0
