;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;406;93;199;198;196;197;200;27;184
Flor232;406;0;356;377;414;389;389;396;409;374
FlorPanc27;93;356;0;117;124;117;118;120;95;114
Giunta;199;377;117;0;32;2;3;7;198;134
ModD4;198;414;124;32;0;30;31;35;201;140
Pet1505;196;389;117;2;30;0;1;5;194;132
Pet1515;197;389;118;3;31;1;0;6;195;132
Pet1519;200;396;120;7;35;5;6;0;198;137
SGall463;27;409;95;198;201;194;195;198;0;192
VatS41-13;184;374;114;134;140;132;132;137;192;0
;;;;;;;;;;
1503.1;0;418,15179;93,4375;192,36376;204,35595;192,10074;192,90543;197,11637;27;182,56845
Flor232;418,15179;0;344,78571;388,62865;400,62083;388,36563;389,17031;393,38125;419,27679;378,83333
FlorPanc27;93,4375;344,78571;0;118,99769;130,98988;118,73467;119,53936;123,7503;94,5625;109,20238
Giunta;192,36376;388,62865;118,99769;0;30,74219;2,0599;2,86458;7,07552;193,48876;131,59531
ModD4;204,35595;400,62083;130,98988;30,74219;0;30,47917;31,28385;35,49479;205,48095;143,5875
Pet1505;192,10074;388,36563;118,73467;2,0599;30,47917;0;0,99219;5;193,22574;131,33229
Pet1515;192,90543;389,17031;119,53936;2,86458;31,28385;0,99219;0;6,00781;194,03043;132,13698
Pet1519;197,11637;393,38125;123,7503;7,07552;35,49479;5;6,00781;0;198,24137;136,34792
SGall463;27;419,27679;94,5625;193,48876;205,48095;193,22574;194,03043;198,24137;0;183,69345
VatS41-13;182,56845;378,83333;109,20238;131,59531;143,5875;131,33229;132,13698;136,34792;183,69345;0
;;;;;;;;;;
1503.1;0;-12,15179;-0,4375;6,63624;-6,35595;3,89926;4,09457;2,88363;0;1,43155
Flor232;-12,15179;0;11,21429;-11,62865;13,37917;0,63437;-0,17031;2,61875;-10,27679;-4,83333
FlorPanc27;-0,4375;11,21429;0;-1,99769;-6,98988;-1,73467;-1,53936;-3,7503;0,4375;4,79762
Giunta;6,63624;-11,62865;-1,99769;0;1,25781;-0,0599;0,13542;-0,07552;4,51124;2,40469
ModD4;-6,35595;13,37917;-6,98988;1,25781;0;-0,47917;-0,28385;-0,49479;-4,48095;-3,5875
Pet1505;3,89926;0,63437;-1,73467;-0,0599;-0,47917;0;0,00781;0;0,77426;0,66771
Pet1515;4,09457;-0,17031;-1,53936;0,13542;-0,28385;0,00781;0;-0,00781;0,96957;-0,13698
Pet1519;2,88363;2,61875;-3,7503;-0,07552;-0,49479;0;-0,00781;0;-0,24137;0,65208
SGall463;0;-10,27679;0,4375;4,51124;-4,48095;0,77426;0,96957;-0,24137;0;8,30655
VatS41-13;1,43155;-4,83333;4,79762;2,40469;-3,5875;0,66771;-0,13698;0,65208;8,30655;0
