;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;209;74;116;121;116;116;116;4;126
Flor232;209;0;243;202;256;203;203;203;208;267
FlorPanc27;74;243;0;102;103;102;103;102;91;65
Giunta;116;202;102;0;8;1;2;2;116;113
ModD4;121;256;103;8;0;7;8;8;121;109
Pet1505;116;203;102;1;7;0;1;1;116;112
Pet1515;116;203;103;2;8;1;0;2;116;112
Pet1519;116;203;102;2;8;1;2;0;116;112
SGall463;4;208;91;116;121;116;116;116;0;126
VatS41-13;126;267;65;113;109;112;112;112;126;0
;;;;;;;;;;
1503.1;0;207,5;117,78869;108,62083;118,11042;110,23542;110,61042;109,77708;4;134,00298
Flor232;207,5;0;224,24702;215,07917;224,56875;216,69375;217,06875;216,23542;209,5;240,46131
FlorPanc27;117,78869;224,24702;0;96,04286;105,53244;97,65744;98,03244;97,19911;119,78869;65
Giunta;108,62083;215,07917;96,04286;0;9,17708;1,30208;1,67708;0,84375;110,62083;112,25714
ModD4;118,11042;224,56875;105,53244;9,17708;0;7;8,4375;8,79167;120,11042;121,74673
Pet1505;110,23542;216,69375;97,65744;1,30208;7;0;0,5625;0,91667;112,23542;113,87173
Pet1515;110,61042;217,06875;98,03244;1,67708;8,4375;0,5625;0;1,29167;112,61042;114,24673
Pet1519;109,77708;216,23542;97,19911;0,84375;8,79167;0,91667;1,29167;0;111,77708;113,41339
SGall463;4;209,5;119,78869;110,62083;120,11042;112,23542;112,61042;111,77708;0;136,00298
VatS41-13;134,00298;240,46131;65;112,25714;121,74673;113,87173;114,24673;113,41339;136,00298;0
;;;;;;;;;;
1503.1;0;1,5;-43,78869;7,37917;2,88958;5,76458;5,38958;6,22292;0;-8,00298
Flor232;1,5;0;18,75298;-13,07917;31,43125;-13,69375;-14,06875;-13,23542;-1,5;26,53869
FlorPanc27;-43,78869;18,75298;0;5,95714;-2,53244;4,34256;4,96756;4,80089;-28,78869;0
Giunta;7,37917;-13,07917;5,95714;0;-1,17708;-0,30208;0,32292;1,15625;5,37917;0,74286
ModD4;2,88958;31,43125;-2,53244;-1,17708;0;0;-0,4375;-0,79167;0,88958;-12,74673
Pet1505;5,76458;-13,69375;4,34256;-0,30208;0;0;0,4375;0,08333;3,76458;-1,87173
Pet1515;5,38958;-14,06875;4,96756;0,32292;-0,4375;0,4375;0;0,70833;3,38958;-2,24673
Pet1519;6,22292;-13,23542;4,80089;1,15625;-0,79167;0,08333;0,70833;0;4,22292;-1,41339
SGall463;0;-1,5;-28,78869;5,37917;0,88958;3,76458;3,38958;4,22292;0;-10,00298
VatS41-13;-8,00298;26,53869;0;0,74286;-12,74673;-1,87173;-2,24673;-1,41339;-10,00298;0
