;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;338;74;154;154;151;152;151;4;157
Flor232;338;0;295;322;344;323;322;323;338;306
FlorPanc27;74;295;0;86;92;87;88;87;75;98
Giunta;154;322;86;0;7;1;2;2;155;102
ModD4;154;344;92;7;0;6;7;7;155;105
Pet1505;151;323;87;1;6;0;1;1;152;101
Pet1515;152;322;88;2;7;1;0;2;153;101
Pet1519;151;323;87;2;7;1;2;0;152;102
SGall463;4;338;75;155;155;152;153;152;0;156
VatS41-13;157;306;98;102;105;101;101;102;156;0
;;;;;;;;;;
1503.1;0;346,61607;74,1875;151,92232;157,74003;151,45878;151,01607;152,19315;4;145,86607
Flor232;346,61607;0;286,07143;323,55625;329,37396;323,09271;322,65;323,82708;347,24107;317,5
FlorPanc27;74,1875;286,07143;0;91,37768;97,19539;90,91414;90,47143;91,64851;74,8125;85,32143
Giunta;151,92232;323,55625;91,37768;0;7,27604;0,99479;1,59375;1,72917;152,54732;101,25625
ModD4;157,74003;329,37396;97,19539;7,27604;0;6;7,41146;7,14063;158,36503;107,07396
Pet1505;151,45878;323,09271;90,91414;0,99479;6;0;1,13021;0,85938;152,08378;100,79271
Pet1515;151,01607;322,65;90,47143;1,59375;7,41146;1,13021;0;1,86458;151,64107;100,35
Pet1519;152,19315;323,82708;91,64851;1,72917;7,14063;0,85938;1,86458;0;152,81815;101,52708
SGall463;4;347,24107;74,8125;152,54732;158,36503;152,08378;151,64107;152,81815;0;146,49107
VatS41-13;145,86607;317,5;85,32143;101,25625;107,07396;100,79271;100,35;101,52708;146,49107;0
