;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;405;117;222;227;221;221;225;39;189
Flor232;405;0;393;389;438;387;387;391;403;390
FlorPanc27;117;393;0;133;134;131;132;135;124;129
Giunta;222;389;133;0;37;4;5;8;218;149
ModD4;227;438;134;37;0;33;34;37;221;156
Pet1505;221;387;131;4;33;0;1;4;217;147
Pet1515;221;387;132;5;34;1;0;5;217;147
Pet1519;225;391;135;8;37;4;5;0;219;151
SGall463;39;403;124;218;221;217;217;219;0;187
VatS41-13;189;390;129;149;156;147;147;151;187;0
;;;;;;;;;;
1503.1;0;436,16964;121,8125;211,45818;227,16131;208,42954;209,2186;212,41391;39;200,33631
Flor232;436,16964;0;362,14286;396,95521;412,65833;393,92656;394,71563;397,91094;433,54464;385,83333
FlorPanc27;121,8125;362,14286;0;137,4314;153,13452;134,40275;135,19182;138,38713;119,1875;126,30952
Giunta;211,45818;396,95521;137,4314;0;36,32813;4,07552;4,86458;8,0599;208,83318;147,72188
ModD4;227,16131;412,65833;153,13452;36,32813;0;33,29948;34,08854;37,28385;224,53631;163,425
Pet1505;208,42954;393,92656;134,40275;4,07552;33,29948;0;1,00781;4;205,80454;144,69323
Pet1515;209,2186;394,71563;135,19182;4,86458;34,08854;1,00781;0;4,99219;206,5936;145,48229
Pet1519;212,41391;397,91094;138,38713;8,0599;37,28385;4;4,99219;0;209,78891;148,6776
SGall463;39;433,54464;119,1875;208,83318;224,53631;205,80454;206,5936;209,78891;0;197,71131
VatS41-13;200,33631;385,83333;126,30952;147,72188;163,425;144,69323;145,48229;148,6776;197,71131;0
;;;;;;;;;;
1503.1;0;-31,16964;-4,8125;10,54182;-0,16131;12,57046;11,7814;12,58609;0;-11,33631
Flor232;-31,16964;0;30,85714;-7,95521;25,34167;-6,92656;-7,71563;-6,91094;-30,54464;4,16667
FlorPanc27;-4,8125;30,85714;0;-4,4314;-19,13452;-3,40275;-3,19182;-3,38713;4,8125;2,69048
Giunta;10,54182;-7,95521;-4,4314;0;0,67187;-0,07552;0,13542;-0,0599;9,16682;1,27812
ModD4;-0,16131;25,34167;-19,13452;0,67187;0;-0,29948;-0,08854;-0,28385;-3,53631;-7,425
Pet1505;12,57046;-6,92656;-3,40275;-0,07552;-0,29948;0;-0,00781;0;11,19546;2,30677
Pet1515;11,7814;-7,71563;-3,19182;0,13542;-0,08854;-0,00781;0;0,00781;10,4064;1,51771
Pet1519;12,58609;-6,91094;-3,38713;-0,0599;-0,28385;0;0,00781;0;9,21109;2,3224
SGall463;0;-30,54464;4,8125;9,16682;-3,53631;11,19546;10,4064;9,21109;0;-10,71131
VatS41-13;-11,33631;4,16667;2,69048;1,27812;-7,425;2,30677;1,51771;2,3224;-10,71131;0
