;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a
1503.1;0;258;109;155;150;152;152;155;39;127
Flor232;258;0;270;240;303;247;247;251;260;289
FlorPanc27;109;270;0;121;124;113;114;116;119;22
Giunta;155;240;121;0;41;4;5;9;156;115
ModD4;150;303;124;41;0;37;38;42;164;136
Pet1505;152;247;113;4;37;0;1;5;156;113
Pet1515;152;247;114;5;38;1;0;6;154;114
Pet1519;155;251;116;9;42;5;6;0;160;117
SGall463;39;260;119;156;164;156;154;160;0;137
VatS41-13a;127;289;22;115;136;113;114;117;137;0
;;;;;;;;;;
1503.1;0;256;139,48214;144,1625;165,475;141,37604;142,28229;146,07917;39;145,76786
Flor232;256;0;253,73214;258,4125;279,725;255,62604;256,53229;260,32917;262;260,01786
FlorPanc27;139,48214;253,73214;0;111,44464;132,75714;108,65818;109,56443;113,36131;145,48214;22
Giunta;144,1625;258,4125;111,44464;0;40,1875;4,13021;5,03646;8,83333;150,1625;117,73036
ModD4;165,475;279,725;132,75714;40,1875;0;37,40104;38,30729;42,10417;171,475;139,04286
Pet1505;141,37604;255,62604;108,65818;4,13021;37,40104;0;1;5,04688;147,37604;114,9439
Pet1515;142,28229;256,53229;109,56443;5,03646;38,30729;1;0;5,95313;148,28229;115,85015
Pet1519;146,07917;260,32917;113,36131;8,83333;42,10417;5,04688;5,95313;0;152,07917;119,64702
SGall463;39;262;145,48214;150,1625;171,475;147,37604;148,28229;152,07917;0;151,76786
VatS41-13a;145,76786;260,01786;22;117,73036;139,04286;114,9439;115,85015;119,64702;151,76786;0
;;;;;;;;;;
1503.1;0;2;-30,48214;10,8375;-15,475;10,62396;9,71771;8,92083;0;-18,76786
Flor232;2;0;16,26786;-18,4125;23,275;-8,62604;-9,53229;-9,32917;-2;28,98214
FlorPanc27;-30,48214;16,26786;0;9,55536;-8,75714;4,34182;4,43557;2,63869;-26,48214;0
Giunta;10,8375;-18,4125;9,55536;0;0,8125;-0,13021;-0,03646;0,16667;5,8375;-2,73036
ModD4;-15,475;23,275;-8,75714;0,8125;0;-0,40104;-0,30729;-0,10417;-7,475;-3,04286
Pet1505;10,62396;-8,62604;4,34182;-0,13021;-0,40104;0;0;-0,04688;8,62396;-1,9439
Pet1515;9,71771;-9,53229;4,43557;-0,03646;-0,30729;0;0;0,04687;5,71771;-1,85015
Pet1519;8,92083;-9,32917;2,63869;0,16667;-0,10417;-0,04688;0,04687;0;7,92083;-2,64702
SGall463;0;-2;-26,48214;5,8375;-7,475;8,62396;5,71771;7,92083;0;-14,76786
VatS41-13a;-18,76786;28,98214;0;-2,73036;-3,04286;-1,9439;-1,85015;-2,64702;-14,76786;0
