;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a
1503.1;0;406;93;199;198;196;197;200;27;104
Flor232;406;0;356;377;414;389;389;396;409;367
FlorPanc27;93;356;0;117;124;117;118;120;95;19
Giunta;199;377;117;0;32;2;3;7;198;112
ModD4;198;414;124;32;0;30;31;35;201;127
Pet1505;196;389;117;2;30;0;1;5;194;112
Pet1515;197;389;118;3;31;1;0;6;195;113
Pet1519;200;396;120;7;35;5;6;0;198;115
SGall463;27;409;95;198;201;194;195;198;0;102
VatS41-13a;104;367;19;112;127;112;113;115;102;0
;;;;;;;;;;
1503.1;0;421,77083;98,34821;188,93646;207,79583;190,49375;191,35313;195,525;27;98,77679
Flor232;421,77083;0;347,07738;387,11563;405,975;388,67292;389,53229;393,70417;421,64583;347,50595
FlorPanc27;98,34821;347,07738;0;114,24301;133,10238;115,8003;116,65967;120,83155;98,22321;19
Giunta;188,93646;387,11563;114,24301;0;29,35938;2,03646;2,89583;7,06771;188,81146;114,67158
ModD4;207,79583;405,975;133,10238;29,35938;0;30,91667;31,77604;35,94792;207,67083;133,53095
Pet1505;190,49375;388,67292;115,8003;2,03646;30,91667;0;0,98438;5;190,36875;116,22887
Pet1515;191,35313;389,53229;116,65967;2,89583;31,77604;0,98438;0;6,01563;191,22813;117,08824
Pet1519;195,525;393,70417;120,83155;7,06771;35,94792;5;6,01563;0;195,4;121,26012
SGall463;27;421,64583;98,22321;188,81146;207,67083;190,36875;191,22813;195,4;0;98,65179
VatS41-13a;98,77679;347,50595;19;114,67158;133,53095;116,22887;117,08824;121,26012;98,65179;0
;;;;;;;;;;
1503.1;0;-15,77083;-5,34821;10,06354;-9,79583;5,50625;5,64687;4,475;0;5,22321
Flor232;-15,77083;0;8,92262;-10,11563;8,025;0,32708;-0,53229;2,29583;-12,64583;19,49405
FlorPanc27;-5,34821;8,92262;0;2,75699;-9,10238;1,1997;1,34033;-0,83155;-3,22321;0
Giunta;10,06354;-10,11563;2,75699;0;2,64062;-0,03646;0,10417;-0,06771;9,18854;-2,67158
ModD4;-9,79583;8,025;-9,10238;2,64062;0;-0,91667;-0,77604;-0,94792;-6,67083;-6,53095
Pet1505;5,50625;0,32708;1,1997;-0,03646;-0,91667;0;0,01562;0;3,63125;-4,22887
Pet1515;5,64687;-0,53229;1,34033;0,10417;-0,77604;0,01562;0;-0,01563;3,77187;-4,08824
Pet1519;4,475;2,29583;-0,83155;-0,06771;-0,94792;0;-0,01563;0;2,6;-6,26012
SGall463;0;-12,64583;-3,22321;9,18854;-6,67083;3,63125;3,77187;2,6;0;3,34821
VatS41-13a;5,22321;19,49405;0;-2,67158;-6,53095;-4,22887;-4,08824;-6,26012;3,34821;0
