;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a
1503.1;0;209;74;116;121;116;116;116;4;84
Flor232;209;0;243;202;256;203;203;203;208;237
FlorPanc27;74;243;0;102;103;102;103;102;91;1
Giunta;116;202;102;0;8;1;2;2;116;99
ModD4;121;256;103;8;0;7;8;8;121;100
Pet1505;116;203;102;1;7;0;1;1;116;99
Pet1515;116;203;103;2;8;1;0;2;116;100
Pet1519;116;203;102;2;8;1;2;0;116;99
SGall463;4;208;91;116;121;116;116;116;0;87
VatS41-13a;84;237;1;99;100;99;100;99;87;0
;;;;;;;;;;
1503.1;0;227,14583;84,09821;105,79583;121,32708;111,70208;111,20208;109,20208;4;81,52679
Flor232;227,14583;0;221,45238;207,35;222,88125;213,25625;212,75625;210,75625;229,52083;218,88095
FlorPanc27;84,09821;221,45238;0;100,10238;115,63363;106,00863;105,50863;103,50863;86,47321;1
Giunta;105,79583;207,35;100,10238;0;11,21875;1,59375;1,09375;-0,90625;108,17083;97,53095
ModD4;121,32708;222,88125;115,63363;11,21875;0;7;9,3125;10,25;123,70208;113,0622
Pet1505;111,70208;213,25625;106,00863;1,59375;7;0;-0,3125;0,625;114,07708;103,4372
Pet1515;111,20208;212,75625;105,50863;1,09375;9,3125;-0,3125;0;0,125;113,57708;102,9372
Pet1519;109,20208;210,75625;103,50863;-0,90625;10,25;0,625;0,125;0;111,57708;100,9372
SGall463;4;229,52083;86,47321;108,17083;123,70208;114,07708;113,57708;111,57708;0;83,90179
VatS41-13a;81,52679;218,88095;1;97,53095;113,0622;103,4372;102,9372;100,9372;83,90179;0
;;;;;;;;;;
1503.1;0;-18,14583;-10,09821;10,20417;-0,32708;4,29792;4,79792;6,79792;0;2,47321
Flor232;-18,14583;0;21,54762;-5,35;33,11875;-10,25625;-9,75625;-7,75625;-21,52083;18,11905
FlorPanc27;-10,09821;21,54762;0;1,89762;-12,63363;-4,00863;-2,50863;-1,50863;4,52679;0
Giunta;10,20417;-5,35;1,89762;0;-3,21875;-0,59375;0,90625;2,90625;7,82917;1,46905
ModD4;-0,32708;33,11875;-12,63363;-3,21875;0;0;-1,3125;-2,25;-2,70208;-13,0622
Pet1505;4,29792;-10,25625;-4,00863;-0,59375;0;0;1,3125;0,375;1,92292;-4,4372
Pet1515;4,79792;-9,75625;-2,50863;0,90625;-1,3125;1,3125;0;1,875;2,42292;-2,9372
Pet1519;6,79792;-7,75625;-1,50863;2,90625;-2,25;0,375;1,875;0;4,42292;-1,9372
SGall463;0;-21,52083;4,52679;7,82917;-2,70208;1,92292;2,42292;4,42292;0;3,09821
VatS41-13a;2,47321;18,11905;0;1,46905;-13,0622;-4,4372;-2,9372;-1,9372;3,09821;0
