;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a
1503.1;0;338;74;154;154;151;152;151;4;72
Flor232;338;0;295;322;344;323;322;323;338;299
FlorPanc27;74;295;0;86;92;87;88;87;75;1
Giunta;154;322;86;0;7;1;2;2;155;85
ModD4;154;344;92;7;0;6;7;7;155;91
Pet1505;151;323;87;1;6;0;1;1;152;86
Pet1515;152;322;88;2;7;1;0;2;153;87
Pet1519;151;323;87;2;7;1;2;0;152;86
SGall463;4;338;75;155;155;152;153;152;0;73
VatS41-13a;72;299;1;85;91;86;87;86;73;0
;;;;;;;;;;
1503.1;0;347,72917;73,27679;147,92917;156,04375;148,41875;149,16875;148,6375;4;72,84821
Flor232;347,72917;0;287,04762;324,3;332,41458;324,78958;325,53958;325,00833;348,60417;286,61905
FlorPanc27;73,27679;287,04762;0;87,24762;95,3622;87,7372;88,4872;87,95595;74,15179;1
Giunta;147,92917;324,3;87,24762;0;8,69792;1,07292;1,82292;1,29167;148,80417;86,81905
ModD4;156,04375;332,41458;95,3622;8,69792;0;6;7,8125;8,34375;156,91875;94,93363
Pet1505;148,41875;324,78958;87,7372;1,07292;6;0;0,1875;0,71875;149,29375;87,30863
Pet1515;149,16875;325,53958;88,4872;1,82292;7,8125;0,1875;0;1,46875;150,04375;88,05863
Pet1519;148,6375;325,00833;87,95595;1,29167;8,34375;0,71875;1,46875;0;149,5125;87,52738
SGall463;4;348,60417;74,15179;148,80417;156,91875;149,29375;150,04375;149,5125;0;73,72321
VatS41-13a;72,84821;286,61905;1;86,81905;94,93363;87,30863;88,05863;87,52738;73,72321;0
;;;;;;;;;;
1503.1;0;-9,72917;0,72321;6,07083;-2,04375;2,58125;2,83125;2,3625;0;-0,84821
Flor232;-9,72917;0;7,95238;-2,3;11,58542;-1,78958;-3,53958;-2,00833;-10,60417;12,38095
FlorPanc27;0,72321;7,95238;0;-1,24762;-3,3622;-0,7372;-0,4872;-0,95595;0,84821;0
Giunta;6,07083;-2,3;-1,24762;0;-1,69792;-0,07292;0,17708;0,70833;6,19583;-1,81905
ModD4;-2,04375;11,58542;-3,3622;-1,69792;0;0;-0,8125;-1,34375;-1,91875;-3,93363
Pet1505;2,58125;-1,78958;-0,7372;-0,07292;0;0;0,8125;0,28125;2,70625;-1,30863
Pet1515;2,83125;-3,53958;-0,4872;0,17708;-0,8125;0,8125;0;0,53125;2,95625;-1,05863
Pet1519;2,3625;-2,00833;-0,95595;0,70833;-1,34375;0,28125;0,53125;0;2,4875;-1,52738
SGall463;0;-10,60417;0,84821;6,19583;-1,91875;2,70625;2,95625;2,4875;0;-0,72321
VatS41-13a;-0,84821;12,38095;0;-1,81905;-3,93363;-1,30863;-1,05863;-1,52738;-0,72321;0
