;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a
1503.1;0;405;117;222;227;221;221;225;39;122
Flor232;405;0;393;389;438;387;387;391;403;393
FlorPanc27;117;393;0;133;134;131;132;135;124;28
Giunta;222;389;133;0;37;4;5;8;218;125
ModD4;227;438;134;37;0;33;34;37;221;133
Pet1505;221;387;131;4;33;0;1;4;217;123
Pet1515;221;387;132;5;34;1;0;5;217;124
Pet1519;225;391;135;8;37;4;5;0;219;127
SGall463;39;403;124;218;221;217;217;219;0;121
VatS41-13a;122;393;28;125;133;123;124;127;121;0
;;;;;;;;;;
1503.1;0;438,625;124,53571;211,01875;236,925;208,04479;208,87292;212,01354;39;119,96429
Flor232;438,625;0;361,91071;394,04375;419,95;391,06979;391,89792;395,03854;436,125;357,33929
FlorPanc27;124,53571;361,91071;0;134,30446;160,21071;131,33051;132,15863;135,29926;122,03571;28
Giunta;211,01875;394,04375;134,30446;0;36,28125;4,06771;4,89583;8,03646;208,51875;129,73304
ModD4;236,925;419,95;160,21071;36,28125;0;33,30729;34,13542;37,27604;234,425;155,63929
Pet1505;208,04479;391,06979;131,33051;4,06771;33,30729;0;1,01563;4;205,54479;126,75908
Pet1515;208,87292;391,89792;132,15863;4,89583;34,13542;1,01563;0;4,98438;206,37292;127,5872
Pet1519;212,01354;395,03854;135,29926;8,03646;37,27604;4;4,98438;0;209,51354;130,72783
SGall463;39;436,125;122,03571;208,51875;234,425;205,54479;206,37292;209,51354;0;117,46429
VatS41-13a;119,96429;357,33929;28;129,73304;155,63929;126,75908;127,5872;130,72783;117,46429;0
