;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13_13a
1503.1;0;169;109;155;150;152;152;155;39;164
1508.3;169;0;95;161;164;161;161;170;168;174
FlorPanc27;109;95;0;121;124;113;114;116;119;133
Giunta;155;161;121;0;41;4;5;9;156;50
ModD4;150;164;124;41;0;37;38;42;164;84
Pet1505;152;161;113;4;37;0;1;5;156;46
Pet1515;152;161;114;5;38;1;0;6;154;47
Pet1519;155;170;116;9;42;5;6;0;160;51
SGall463;39;168;119;156;164;156;154;160;0;161
VatS41-13_13a;164;174;133;50;84;46;47;51;161;0
;;;;;;;;;;
1503.1;0;162,42857;116,07143;150,39896;168,38333;146,62031;147,46927;151,59948;39;162,95833
1508.3;162,42857;0;95;161,66086;179,64524;157,88222;158,73118;162,86138;166,42857;174,22024
FlorPanc27;116,07143;95;0;115,30372;133,2881;111,52507;112,37403;116,50424;120,07143;127,8631
Giunta;150,39896;161,66086;115,30372;0;40,85938;4,08073;4,92969;9,0599;154,39896;53,09063
ModD4;168,38333;179,64524;133,2881;40,85938;0;37,08073;37,92969;42,0599;172,38333;71,075
Pet1505;146,62031;157,88222;111,52507;4,08073;37,08073;0;1,01042;5;150,62031;49,31198
Pet1515;147,46927;158,73118;112,37403;4,92969;37,92969;1,01042;0;5,98958;151,46927;50,16094
Pet1519;151,59948;162,86138;116,50424;9,0599;42,0599;5;5,98958;0;155,59948;54,29115
SGall463;39;166,42857;120,07143;154,39896;172,38333;150,62031;151,46927;155,59948;0;166,95833
VatS41-13_13a;162,95833;174,22024;127,8631;53,09063;71,075;49,31198;50,16094;54,29115;166,95833;0
;;;;;;;;;;
1503.1;0;6,57143;-7,07143;4,60104;-18,38333;5,37969;4,53073;3,40052;0;1,04167
1508.3;6,57143;0;0;-0,66086;-15,64524;3,11778;2,26882;7,13862;1,57143;-0,22024
FlorPanc27;-7,07143;0;0;5,69628;-9,2881;1,47493;1,62597;-0,50424;-1,07143;5,1369
Giunta;4,60104;-0,66086;5,69628;0;0,14062;-0,08073;0,07031;-0,0599;1,60104;-3,09063
ModD4;-18,38333;-15,64524;-9,2881;0,14062;0;-0,08073;0,07031;-0,0599;-8,38333;12,925
Pet1505;5,37969;3,11778;1,47493;-0,08073;-0,08073;0;-0,01042;0;5,37969;-3,31198
Pet1515;4,53073;2,26882;1,62597;0,07031;0,07031;-0,01042;0;0,01042;2,53073;-3,16094
Pet1519;3,40052;7,13862;-0,50424;-0,0599;-0,0599;0;0,01042;0;4,40052;-3,29115
SGall463;0;1,57143;-1,07143;1,60104;-8,38333;5,37969;2,53073;4,40052;0;-5,95833
VatS41-13_13a;1,04167;-0,22024;5,1369;-3,09063;12,925;-3,31198;-3,16094;-3,29115;-5,95833;0
