;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13_13a
1503.1;0;164;101;143;143;136;136;148;26;159
1508.3;164;0;94;160;160;157;157;160;169;165
FlorPanc27;101;94;0;124;125;118;119;121;108;121
Giunta;143;160;124;0;32;2;3;7;142;33
ModD4;143;160;125;32;0;30;31;35;153;47
Pet1505;136;157;118;2;30;0;1;5;137;31
Pet1515;136;157;119;3;31;1;0;6;138;32
Pet1519;148;160;121;7;35;5;6;0;139;36
SGall463;26;169;108;142;153;137;138;139;0;145
VatS41-13_13a;159;165;121;33;47;31;32;36;145;0
;;;;;;;;;;
1503.1;0;156,36607;114,50893;140,50781;146,52083;138,30469;138,94271;143,20313;26;151,64583
1508.3;156,36607;0;94;158,83222;164,84524;156,62909;157,26711;161,52753;156,49107;169,97024
FlorPanc27;114,50893;94;0;116,97507;122,9881;114,77195;115,40997;119,67039;114,63393;128,1131
Giunta;140,50781;158,83222;116,97507;0;32,98698;2;3,16927;7,10156;140,63281;33,26823
ModD4;146,52083;164,84524;122,9881;32,98698;0;30,78385;31,42188;35,68229;146,64583;44,125
Pet1505;138,30469;156,62909;114,77195;2;30,78385;0;0,96615;4,89844;138,42969;31,0651
Pet1515;138,94271;157,26711;115,40997;3,16927;31,42188;0,96615;0;5,86458;139,06771;31,70313
Pet1519;143,20313;161,52753;119,67039;7,10156;35,68229;4,89844;5,86458;0;143,32813;35,96354
SGall463;26;156,49107;114,63393;140,63281;146,64583;138,42969;139,06771;143,32813;0;151,77083
VatS41-13_13a;151,64583;169,97024;128,1131;33,26823;44,125;31,0651;31,70313;35,96354;151,77083;0
;;;;;;;;;;
1503.1;0;7,63393;-13,50893;2,49219;-3,52083;-2,30469;-2,94271;4,79687;0;7,35417
1508.3;7,63393;0;0;1,16778;-4,84524;0,37091;-0,26711;-1,52753;12,50893;-4,97024
FlorPanc27;-13,50893;0;0;7,02493;2,0119;3,22805;3,59003;1,32961;-6,63393;-7,1131
Giunta;2,49219;1,16778;7,02493;0;-0,98698;0;-0,16927;-0,10156;1,36719;-0,26823
ModD4;-3,52083;-4,84524;2,0119;-0,98698;0;-0,78385;-0,42188;-0,68229;6,35417;2,875
Pet1505;-2,30469;0,37091;3,22805;0;-0,78385;0;0,03385;0,10156;-1,42969;-0,0651
Pet1515;-2,94271;-0,26711;3,59003;-0,16927;-0,42188;0,03385;0;0,13542;-1,06771;0,29687
Pet1519;4,79687;-1,52753;1,32961;-0,10156;-0,68229;0,10156;0,13542;0;-4,32813;0,03646
SGall463;0;12,50893;-6,63393;1,36719;6,35417;-1,42969;-1,06771;-4,32813;0;-6,77083
VatS41-13_13a;7,35417;-4,97024;-7,1131;-0,26823;2,875;-0,0651;0,29687;0,03646;-6,77083;0
