;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13_13a
1503.1;0;130;74;116;121;116;116;116;4;118
1508.3;130;0;78;127;124;131;138;131;132;129
FlorPanc27;74;78;0;102;103;102;103;102;91;102
Giunta;116;127;102;0;8;1;2;2;116;6
ModD4;121;124;103;8;0;7;8;8;121;12
Pet1505;116;131;102;1;7;0;1;1;116;5
Pet1515;116;138;103;2;8;1;0;2;116;6
Pet1519;116;131;102;2;8;1;2;0;116;6
SGall463;4;132;91;116;121;116;116;116;0;118
VatS41-13_13a;118;129;102;6;12;5;6;6;118;0
;;;;;;;;;;
1503.1;0;120,88393;90,24107;115,2875;116,5625;114,81875;115,88125;115,6625;4;117,6625
1508.3;120,88393;0;78;130,79643;132,07143;130,32768;131,39018;131,17143;123,25893;133,17143
FlorPanc27;90,24107;78;0;100,15357;101,42857;99,68482;100,74732;100,52857;92,61607;102,52857
Giunta;115,2875;130,79643;100,15357;0;8,025;1,03125;2,09375;1,875;117,6625;5,625
ModD4;116,5625;132,07143;101,42857;8,025;0;7,55625;8,61875;8,4;118,9375;10,4
Pet1505;114,81875;130,32768;99,68482;1,03125;7,55625;0;1;0,96875;117,19375;5,15625
Pet1515;115,88125;131,39018;100,74732;2,09375;8,61875;1;0;2,03125;118,25625;6,21875
Pet1519;115,6625;131,17143;100,52857;1,875;8,4;0,96875;2,03125;0;118,0375;6
SGall463;4;123,25893;92,61607;117,6625;118,9375;117,19375;118,25625;118,0375;0;120,0375
VatS41-13_13a;117,6625;133,17143;102,52857;5,625;10,4;5,15625;6,21875;6;120,0375;0
;;;;;;;;;;
1503.1;0;9,11607;-16,24107;0,7125;4,4375;1,18125;0,11875;0,3375;0;0,3375
1508.3;9,11607;0;0;-3,79643;-8,07143;0,67232;6,60982;-0,17143;8,74107;-4,17143
FlorPanc27;-16,24107;0;0;1,84643;1,57143;2,31518;2,25268;1,47143;-1,61607;-0,52857
Giunta;0,7125;-3,79643;1,84643;0;-0,025;-0,03125;-0,09375;0,125;-1,6625;0,375
ModD4;4,4375;-8,07143;1,57143;-0,025;0;-0,55625;-0,61875;-0,4;2,0625;1,6
Pet1505;1,18125;0,67232;2,31518;-0,03125;-0,55625;0;0;0,03125;-1,19375;-0,15625
Pet1515;0,11875;6,60982;2,25268;-0,09375;-0,61875;0;0;-0,03125;-2,25625;-0,21875
Pet1519;0,3375;-0,17143;1,47143;0,125;-0,4;0,03125;-0,03125;0;-2,0375;0
SGall463;0;8,74107;-1,61607;-1,6625;2,0625;-1,19375;-2,25625;-2,0375;0;-2,0375
VatS41-13_13a;0,3375;-4,17143;-0,52857;0,375;1,6;-0,15625;-0,21875;0;-2,0375;0
