;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13_13a
1503.1;0;181;74;154;154;151;152;151;4;153
1508.3;181;0;141;181;176;181;181;181;182;183
FlorPanc27;74;141;0;86;92;87;88;87;75;89
Giunta;154;181;86;0;7;1;2;2;155;7
ModD4;154;176;92;7;0;6;7;7;155;12
Pet1505;151;181;87;1;6;0;1;1;152;6
Pet1515;152;181;88;2;7;1;0;2;153;7
Pet1519;151;181;87;2;7;1;2;0;152;7
SGall463;4;182;75;155;155;152;153;152;0;154
VatS41-13_13a;153;183;89;7;12;6;7;7;154;0
;;;;;;;;;;
1503.1;0;191,42857;74;150,5317;149,84524;149,56295;150,51607;150,37024;4;153,74524
1508.3;191,42857;0;130,57143;180,26979;179,58333;179,30104;180,25417;180,10833;192,42857;183,48333
FlorPanc27;74;130,57143;0;89,67455;88,9881;88,7058;89,65893;89,5131;75;92,8881
Giunta;150,5317;180,26979;89,67455;0;7,38646;1;1,98438;1,99479;151,5317;7,03646
ModD4;149,84524;179,58333;88,9881;7,38646;0;6,41771;7,37083;7,225;150,84524;10,6
Pet1505;149,56295;179,30104;88,7058;1;6,41771;0;1,01563;1,02604;150,56295;6,06771
Pet1515;150,51607;180,25417;89,65893;1,98438;7,37083;1,01563;0;1,97917;151,51607;7,02083
Pet1519;150,37024;180,10833;89,5131;1,99479;7,225;1,02604;1,97917;0;151,37024;6,875
SGall463;4;192,42857;75;151,5317;150,84524;150,56295;151,51607;151,37024;0;154,74524
VatS41-13_13a;153,74524;183,48333;92,8881;7,03646;10,6;6,06771;7,02083;6,875;154,74524;0
;;;;;;;;;;
1503.1;0;-10,42857;0;3,4683;4,15476;1,43705;1,48393;0,62976;0;-0,74524
1508.3;-10,42857;0;10,42857;0,73021;-3,58333;1,69896;0,74583;0,89167;-10,42857;-0,48333
FlorPanc27;0;10,42857;0;-3,67455;3,0119;-1,7058;-1,65893;-2,5131;0;-3,8881
Giunta;3,4683;0,73021;-3,67455;0;-0,38646;0;0,01562;0,00521;3,4683;-0,03646
ModD4;4,15476;-3,58333;3,0119;-0,38646;0;-0,41771;-0,37083;-0,225;4,15476;1,4
Pet1505;1,43705;1,69896;-1,7058;0;-0,41771;0;-0,01563;-0,02604;1,43705;-0,06771
Pet1515;1,48393;0,74583;-1,65893;0,01562;-0,37083;-0,01563;0;0,02083;1,48393;-0,02083
Pet1519;0,62976;0,89167;-2,5131;0,00521;-0,225;-0,02604;0,02083;0;0,62976;0,125
SGall463;0;-10,42857;0;3,4683;4,15476;1,43705;1,48393;0,62976;0;-0,74524
VatS41-13_13a;-0,74524;-0,48333;-3,8881;-0,03646;1,4;-0,06771;-0,02083;0,125;-0,74524;0
