;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13_13a
1503.1;0;201;117;222;227;221;221;225;39;235
1508.3;201;0;159;205;205;204;204;208;208;213
FlorPanc27;117;159;0;133;134;131;132;135;124;144
Giunta;222;205;133;0;37;4;5;8;218;51
ModD4;227;205;134;37;0;33;34;37;221;62
Pet1505;221;204;131;4;33;0;1;4;217;47
Pet1515;221;204;132;5;34;1;0;5;217;48
Pet1519;225;208;135;8;37;4;5;0;219;51
SGall463;39;208;124;218;221;217;217;219;0;237
VatS41-13_13a;235;213;144;51;62;47;48;51;237;0
;;;;;;;;;;
1503.1;0;223,42857;121;218,92336;224,59524;215,56138;216,47545;219,54576;39;229,47024
1508.3;223,42857;0;140,57143;204,66146;210,33333;201,29948;202,21354;205,28385;222,42857;215,20833
FlorPanc27;121;140,57143;0;136,06622;141,7381;132,70424;133,6183;136,68862;120;146,6131
Giunta;218,92336;204,66146;136,06622;0;36,54688;4,03385;4,94792;8,01823;217,92336;51,70313
ModD4;224,59524;210,33333;141,7381;36,54688;0;33,1849;34,09896;37,16927;223,59524;57,375
Pet1505;215,56138;201,29948;132,70424;4,03385;33,1849;0;1,00781;4;214,56138;48,34115
Pet1515;216,47545;202,21354;133,6183;4,94792;34,09896;1,00781;0;4,99219;215,47545;49,25521
Pet1519;219,54576;205,28385;136,68862;8,01823;37,16927;4;4,99219;0;218,54576;52,32552
SGall463;39;222,42857;120;217,92336;223,59524;214,56138;215,47545;218,54576;0;228,47024
VatS41-13_13a;229,47024;215,20833;146,6131;51,70313;57,375;48,34115;49,25521;52,32552;228,47024;0
;;;;;;;;;;
1503.1;0;-22,42857;-4;3,07664;2,40476;5,43862;4,52455;5,45424;0;5,52976
1508.3;-22,42857;0;18,42857;0,33854;-5,33333;2,70052;1,78646;2,71615;-14,42857;-2,20833
FlorPanc27;-4;18,42857;0;-3,06622;-7,7381;-1,70424;-1,6183;-1,68862;4;-2,6131
Giunta;3,07664;0,33854;-3,06622;0;0,45312;-0,03385;0,05208;-0,01823;0,07664;-0,70313
ModD4;2,40476;-5,33333;-7,7381;0,45312;0;-0,1849;-0,09896;-0,16927;-2,59524;4,625
Pet1505;5,43862;2,70052;-1,70424;-0,03385;-0,1849;0;-0,00781;0;2,43862;-1,34115
Pet1515;4,52455;1,78646;-1,6183;0,05208;-0,09896;-0,00781;0;0,00781;1,52455;-1,25521
Pet1519;5,45424;2,71615;-1,68862;-0,01823;-0,16927;0;0,00781;0;0,45424;-1,32552
SGall463;0;-14,42857;4;0,07664;-2,59524;2,43862;1,52455;0,45424;0;8,52976
VatS41-13_13a;5,52976;-2,20833;-2,6131;-0,70313;4,625;-1,34115;-1,25521;-1,32552;8,52976;0
