;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13+13a
1503.1;0;164;101;143;143;136;136;148;26;107;159
1508.3;164;0;94;160;160;157;157;160;169;108;165
FlorPanc27;101;94;0;124;125;118;119;121;108;18;121
Giunta;143;160;124;0;32;2;3;7;142;109;33
ModD4;143;160;125;32;0;30;31;35;153;115;47
Pet1505;136;157;118;2;30;0;1;5;137;108;31
Pet1515;136;157;119;3;31;1;0;6;138;109;32
Pet1519;148;160;121;7;35;5;6;0;139;111;36
SGall463;26;169;108;142;153;137;138;139;0;119;145
VatS41-13a;107;108;18;109;115;108;109;111;119;0;100
VatS41-13+13a;159;165;121;33;47;31;32;36;145;100;0
;;;;;;;;;;;
1503.1;0;160,24206;116,90724;139,87023;149,50694;137,70616;138,38976;142,62413;26;110,21974;147,06944
1508.3;160,24206;0;104,34375;158,0984;167,73512;155,93434;156,61793;160,85231;161,68651;97,65625;165,29762
FlorPanc27;116,90724;104,34375;0;114,76358;124,4003;112,59952;113,28311;117,51749;118,35169;18;121,9628
Giunta;139,87023;158,0984;114,76358;0;32,22266;2;3,13672;7,08203;141,31467;108,07608;34,05078
ModD4;149,50694;167,73512;124,4003;32,22266;0;30,05859;30,74219;34,97656;150,95139;117,7128;43,6875
Pet1505;137,70616;155,93434;112,59952;2;30,05859;0;0,97266;4,91797;139,15061;105,91202;31,88672
Pet1515;138,38976;156,61793;113,28311;3,13672;30,74219;0,97266;0;5,89063;139,8342;106,59561;32,57031
Pet1519;142,62413;160,85231;117,51749;7,08203;34,97656;4,91797;5,89063;0;144,06858;110,82999;36,80469
SGall463;26;161,68651;118,35169;141,31467;150,95139;139,15061;139,8342;144,06858;0;111,66419;148,51389
VatS41-13a;110,21974;97,65625;18;108,07608;117,7128;105,91202;106,59561;110,82999;111,66419;0;115,2753
VatS41-13+13a;147,06944;165,29762;121,9628;34,05078;43,6875;31,88672;32,57031;36,80469;148,51389;115,2753;0
;;;;;;;;;;;
1503.1;0;3,75794;-15,90724;3,12977;-6,50694;-1,70616;-2,38976;5,37587;0;-3,21974;11,93056
1508.3;3,75794;0;-10,34375;1,9016;-7,73512;1,06566;0,38207;-0,85231;7,31349;10,34375;-0,29762
FlorPanc27;-15,90724;-10,34375;0;9,23642;0,5997;5,40048;5,71689;3,48251;-10,35169;0;-0,9628
Giunta;3,12977;1,9016;9,23642;0;-0,22266;0;-0,13672;-0,08203;0,68533;0,92392;-1,05078
ModD4;-6,50694;-7,73512;0,5997;-0,22266;0;-0,05859;0,25781;0,02344;2,04861;-2,7128;3,3125
Pet1505;-1,70616;1,06566;5,40048;0;-0,05859;0;0,02734;0,08203;-2,15061;2,08798;-0,88672
Pet1515;-2,38976;0,38207;5,71689;-0,13672;0,25781;0,02734;0;0,10937;-1,8342;2,40439;-0,57031
Pet1519;5,37587;-0,85231;3,48251;-0,08203;0,02344;0,08203;0,10937;0;-5,06858;0,17001;-0,80469
SGall463;0;7,31349;-10,35169;0,68533;2,04861;-2,15061;-1,8342;-5,06858;0;7,33581;-3,51389
VatS41-13a;-3,21974;10,34375;0;0,92392;-2,7128;2,08798;2,40439;0,17001;7,33581;0;-15,2753
VatS41-13+13a;11,93056;-0,29762;-0,9628;-1,05078;3,3125;-0,88672;-0,57031;-0,80469;-3,51389;-15,2753;0
