;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13+13a
1503.1;0;181;74;154;154;151;152;151;4;72;153
1508.3;181;0;141;181;176;181;181;181;182;139;183
FlorPanc27;74;141;0;86;92;87;88;87;75;1;89
Giunta;154;181;86;0;7;1;2;2;155;85;7
ModD4;154;176;92;7;0;6;7;7;155;91;12
Pet1505;151;181;87;1;6;0;1;1;152;86;6
Pet1515;152;181;88;2;7;1;0;2;153;87;7
Pet1519;151;181;87;2;7;1;2;0;152;86;7
SGall463;4;182;75;155;155;152;153;152;0;73;154
VatS41-13a;72;139;1;85;91;86;87;86;73;0;88
VatS41-13+13a;153;183;89;7;12;6;7;7;154;88;0
;;;;;;;;;;;
1503.1;0;191,21429;73,625;150,56741;149,88095;149,59866;150,55179;150,40595;4;72,375;153,78095
1508.3;191,21429;0;130,41071;180,26979;179,58333;179,30104;180,25417;180,10833;192,21429;129,16071;183,48333
FlorPanc27;73,625;130,41071;0;89,76384;89,07738;88,79509;89,74821;89,60238;74,625;1;92,97738
Giunta;150,56741;180,26979;89,76384;0;7,38646;1;1,98438;1,99479;151,56741;88,51384;7,03646
ModD4;149,88095;179,58333;89,07738;7,38646;0;6,41771;7,37083;7,225;150,88095;87,82738;10,6
Pet1505;149,59866;179,30104;88,79509;1;6,41771;0;1,01563;1,02604;150,59866;87,54509;6,06771
Pet1515;150,55179;180,25417;89,74821;1,98438;7,37083;1,01563;0;1,97917;151,55179;88,49821;7,02083
Pet1519;150,40595;180,10833;89,60238;1,99479;7,225;1,02604;1,97917;0;151,40595;88,35238;6,875
SGall463;4;192,21429;74,625;151,56741;150,88095;150,59866;151,55179;151,40595;0;73,375;154,78095
VatS41-13a;72,375;129,16071;1;88,51384;87,82738;87,54509;88,49821;88,35238;73,375;0;91,72738
VatS41-13+13a;153,78095;183,48333;92,97738;7,03646;10,6;6,06771;7,02083;6,875;154,78095;91,72738;0
;;;;;;;;;;;
1503.1;0;-10,21429;0,375;3,43259;4,11905;1,40134;1,44821;0,59405;0;-0,375;-0,78095
1508.3;-10,21429;0;10,58929;0,73021;-3,58333;1,69896;0,74583;0,89167;-10,21429;9,83929;-0,48333
FlorPanc27;0,375;10,58929;0;-3,76384;2,92262;-1,79509;-1,74821;-2,60238;0,375;0;-3,97738
Giunta;3,43259;0,73021;-3,76384;0;-0,38646;0;0,01562;0,00521;3,43259;-3,51384;-0,03646
ModD4;4,11905;-3,58333;2,92262;-0,38646;0;-0,41771;-0,37083;-0,225;4,11905;3,17262;1,4
Pet1505;1,40134;1,69896;-1,79509;0;-0,41771;0;-0,01563;-0,02604;1,40134;-1,54509;-0,06771
Pet1515;1,44821;0,74583;-1,74821;0,01562;-0,37083;-0,01563;0;0,02083;1,44821;-1,49821;-0,02083
Pet1519;0,59405;0,89167;-2,60238;0,00521;-0,225;-0,02604;0,02083;0;0,59405;-2,35238;0,125
SGall463;0;-10,21429;0,375;3,43259;4,11905;1,40134;1,44821;0,59405;0;-0,375;-0,78095
VatS41-13a;-0,375;9,83929;0;-3,51384;3,17262;-1,54509;-1,49821;-2,35238;-0,375;0;-3,72738
VatS41-13+13a;-0,78095;-0,48333;-3,97738;-0,03646;1,4;-0,06771;-0,02083;0,125;-0,78095;-3,72738;0
