;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13+13a
1503.1;0;201;117;222;227;221;221;225;39;122;235
1508.3;201;0;159;205;205;204;204;208;208;167;213
FlorPanc27;117;159;0;133;134;131;132;135;124;28;144
Giunta;222;205;133;0;37;4;5;8;218;125;51
ModD4;227;205;134;37;0;33;34;37;221;133;62
Pet1505;221;204;131;4;33;0;1;4;217;123;47
Pet1515;221;204;132;5;34;1;0;5;217;124;48
Pet1519;225;208;135;8;37;4;5;0;219;127;51
SGall463;39;208;124;218;221;217;217;219;0;121;237
VatS41-13a;122;167;28;125;133;123;124;127;121;0;118
VatS41-13+13a;235;213;144;51;62;47;48;51;237;118;0
;;;;;;;;;;;
1503.1;0;227,25;124,625;218,60313;224,7125;215,24115;216,15521;219,22552;39;118,375;226,8125
1508.3;227,25;0;143,875;204,97813;211,0875;201,61615;202,53021;205,60052;226,25;137,625;213,1875
FlorPanc27;124,625;143,875;0;135,22813;141,3375;131,86615;132,78021;135,85052;123,625;28;143,4375
Giunta;218,60313;204,97813;135,22813;0;36,54688;4,03385;4,94792;8,01823;217,60313;128,97813;51,61563
ModD4;224,7125;211,0875;141,3375;36,54688;0;33,1849;34,09896;37,16927;223,7125;135,0875;57,725
Pet1505;215,24115;201,61615;131,86615;4,03385;33,1849;0;1,00781;4;214,24115;125,61615;48,25365
Pet1515;216,15521;202,53021;132,78021;4,94792;34,09896;1,00781;0;4,99219;215,15521;126,53021;49,16771
Pet1519;219,22552;205,60052;135,85052;8,01823;37,16927;4;4,99219;0;218,22552;129,60052;52,23802
SGall463;39;226,25;123,625;217,60313;223,7125;214,24115;215,15521;218,22552;0;117,375;225,8125
VatS41-13a;118,375;137,625;28;128,97813;135,0875;125,61615;126,53021;129,60052;117,375;0;137,1875
VatS41-13+13a;226,8125;213,1875;143,4375;51,61563;57,725;48,25365;49,16771;52,23802;225,8125;137,1875;0
;;;;;;;;;;;
1503.1;0;-26,25;-7,625;3,39687;2,2875;5,75885;4,84479;5,77448;0;3,625;8,1875
1508.3;-26,25;0;15,125;0,02187;-6,0875;2,38385;1,46979;2,39948;-18,25;29,375;-0,1875
FlorPanc27;-7,625;15,125;0;-2,22813;-7,3375;-0,86615;-0,78021;-0,85052;0,375;0;0,5625
Giunta;3,39687;0,02187;-2,22813;0;0,45312;-0,03385;0,05208;-0,01823;0,39687;-3,97813;-0,61563
ModD4;2,2875;-6,0875;-7,3375;0,45312;0;-0,1849;-0,09896;-0,16927;-2,7125;-2,0875;4,275
Pet1505;5,75885;2,38385;-0,86615;-0,03385;-0,1849;0;-0,00781;0;2,75885;-2,61615;-1,25365
Pet1515;4,84479;1,46979;-0,78021;0,05208;-0,09896;-0,00781;0;0,00781;1,84479;-2,53021;-1,16771
Pet1519;5,77448;2,39948;-0,85052;-0,01823;-0,16927;0;0,00781;0;0,77448;-2,60052;-1,23802
SGall463;0;-18,25;0,375;0,39687;-2,7125;2,75885;1,84479;0,77448;0;3,625;11,1875
VatS41-13a;3,625;29,375;0;-3,97813;-2,0875;-2,61615;-2,53021;-2,60052;3,625;0;-19,1875
VatS41-13+13a;8,1875;-0,1875;0,5625;-0,61563;4,275;-1,25365;-1,16771;-1,23802;11,1875;-19,1875;0
