;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;169;109;155;150;152;152;155;39;152
1508.3;169;0;95;161;164;161;161;170;168;121
FlorPanc27;109;95;0;121;124;113;114;116;119;88
Giunta;155;161;121;0;41;4;5;9;156;157
ModD4;150;164;124;41;0;37;38;42;164;161
Pet1505;152;161;113;4;37;0;1;5;156;147
Pet1515;152;161;114;5;38;1;0;6;154;147
Pet1519;155;170;116;9;42;5;6;0;160;150
SGall463;39;168;119;156;164;156;154;160;0;159
VatS41-13;152;121;88;157;161;147;147;150;159;0
;;;;;;;;;;
1503.1;0;161,52381;114,58333;153,58542;156,325;149,58542;150,04375;154,33542;39;150,80952
1508.3;161,52381;0;96,85714;164,70923;167,44881;160,70923;161,16756;165,45923;166,77381;121
FlorPanc27;114,58333;96,85714;0;117,76875;120,50833;113,76875;114,22708;118,51875;119,83333;86,14286
Giunta;153,58542;164,70923;117,76875;0;41,19792;4;5,08333;9;158,83542;153,99494
ModD4;156,325;167,44881;120,50833;41,19792;0;37,19792;37,65625;41,94792;161,575;156,73452
Pet1505;149,58542;160,70923;113,76875;4;37,19792;0;1,08333;5;154,83542;149,99494
Pet1515;150,04375;161,16756;114,22708;5,08333;37,65625;1,08333;0;5,83333;155,29375;150,45327
Pet1519;154,33542;165,45923;118,51875;9;41,94792;5;5,83333;0;159,58542;154,74494
SGall463;39;166,77381;119,83333;158,83542;161,575;154,83542;155,29375;159,58542;0;156,05952
VatS41-13;150,80952;121;86,14286;153,99494;156,73452;149,99494;150,45327;154,74494;156,05952;0
;;;;;;;;;;
1503.1;0;7,47619;-5,58333;1,41458;-6,325;2,41458;1,95625;0,66458;0;1,19048
1508.3;7,47619;0;-1,85714;-3,70923;-3,44881;0,29077;-0,16756;4,54077;1,22619;0
FlorPanc27;-5,58333;-1,85714;0;3,23125;3,49167;-0,76875;-0,22708;-2,51875;-0,83333;1,85714
Giunta;1,41458;-3,70923;3,23125;0;-0,19792;0;-0,08333;0;-2,83542;3,00506
ModD4;-6,325;-3,44881;3,49167;-0,19792;0;-0,19792;0,34375;0,05208;2,425;4,26548
Pet1505;2,41458;0,29077;-0,76875;0;-0,19792;0;-0,08333;0;1,16458;-2,99494
Pet1515;1,95625;-0,16756;-0,22708;-0,08333;0,34375;-0,08333;0;0,16667;-1,29375;-3,45327
Pet1519;0,66458;4,54077;-2,51875;0;0,05208;0;0,16667;0;0,41458;-4,74494
SGall463;0;1,22619;-0,83333;-2,83542;2,425;1,16458;-1,29375;0,41458;0;2,94048
VatS41-13;1,19048;0;1,85714;3,00506;4,26548;-2,99494;-3,45327;-4,74494;2,94048;0
