;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;164;101;143;143;136;136;148;26;147
1508.3;164;0;94;160;160;157;157;160;169;115
FlorPanc27;101;94;0;124;125;118;119;121;108;83
Giunta;143;160;124;0;32;2;3;7;142;141
ModD4;143;160;125;32;0;30;31;35;153;142
Pet1505;136;157;118;2;30;0;1;5;137;139
Pet1515;136;157;119;3;31;1;0;6;138;139
Pet1519;148;160;121;7;35;5;6;0;139;142
SGall463;26;169;108;142;153;137;138;139;0;152
VatS41-13;147;115;83;141;142;139;139;142;152;0
;;;;;;;;;;
1503.1;0;154,75;113,75;139,64948;144,725;137,25885;137,55313;142,06354;26;137,75
1508.3;154,75;0;97;159,69948;164,775;157,30885;157,60313;162,11354;157,25;115
FlorPanc27;113,75;97;0;118,69948;123,775;116,30885;116,60313;121,11354;116,25;80
Giunta;139,64948;159,69948;118,69948;0;32,51823;2;3,32552;7,19531;142,14948;142,69948
ModD4;144,725;164,775;123,775;32,51823;0;30,1276;30,42188;34,93229;147,225;147,775
Pet1505;137,25885;157,30885;116,30885;2;30,1276;0;0,9349;4,80469;139,75885;140,30885
Pet1515;137,55313;157,60313;116,60313;3,32552;30,42188;0,9349;0;5,73958;140,05313;140,60313
Pet1519;142,06354;162,11354;121,11354;7,19531;34,93229;4,80469;5,73958;0;144,56354;145,11354
SGall463;26;157,25;116,25;142,14948;147,225;139,75885;140,05313;144,56354;0;140,25
VatS41-13;137,75;115;80;142,69948;147,775;140,30885;140,60313;145,11354;140,25;0
;;;;;;;;;;
1503.1;0;9,25;-12,75;3,35052;-1,725;-1,25885;-1,55313;5,93646;0;9,25
1508.3;9,25;0;-3;0,30052;-4,775;-0,30885;-0,60313;-2,11354;11,75;0
FlorPanc27;-12,75;-3;0;5,30052;1,225;1,69115;2,39687;-0,11354;-8,25;3
Giunta;3,35052;0,30052;5,30052;0;-0,51823;0;-0,32552;-0,19531;-0,14948;-1,69948
ModD4;-1,725;-4,775;1,225;-0,51823;0;-0,1276;0,57812;0,06771;5,775;-5,775
Pet1505;-1,25885;-0,30885;1,69115;0;-0,1276;0;0,0651;0,19531;-2,75885;-1,30885
Pet1515;-1,55313;-0,60313;2,39687;-0,32552;0,57812;0,0651;0;0,26042;-2,05313;-1,60313
Pet1519;5,93646;-2,11354;-0,11354;-0,19531;0,06771;0,19531;0,26042;0;-5,56354;-3,11354
SGall463;0;11,75;-8,25;-0,14948;5,775;-2,75885;-2,05313;-5,56354;0;11,75
VatS41-13;9,25;0;3;-1,69948;-5,775;-1,30885;-1,60313;-3,11354;11,75;0
