;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;223;93;199;198;196;197;200;27;184
1508.3;223;0;174;222;217;221;221;224;221;164
FlorPanc27;93;174;0;117;124;117;118;120;95;114
Giunta;199;222;117;0;32;2;3;7;198;134
ModD4;198;217;124;32;0;30;31;35;201;140
Pet1505;196;221;117;2;30;0;1;5;194;132
Pet1515;197;221;118;3;31;1;0;6;195;132
Pet1519;200;224;120;7;35;5;6;0;198;137
SGall463;27;221;95;198;201;194;195;198;0;192
VatS41-13;184;164;114;134;140;132;132;137;192;0
;;;;;;;;;;
1503.1;0;250,71429;93,75;194,50543;196,78929;192,55231;193,45074;197,02366;27;171,21429
1508.3;250,71429;0;177,53571;217,39115;219,675;215,43802;216,33646;219,90938;251,21429;164
FlorPanc27;93,75;177,53571;0;121,32686;123,61071;119,37374;120,27217;123,84509;94,25;98,03571
Giunta;194,50543;217,39115;121,32686;0;32,1224;2;2,97656;7,0026;195,00543;137,89115
ModD4;196,78929;219,675;123,61071;32,1224;0;30,16927;31,06771;34,64063;197,28929;140,175
Pet1505;192,55231;215,43802;119,37374;2;30,16927;0;1,02344;5,04948;193,05231;135,93802
Pet1515;193,45074;216,33646;120,27217;2,97656;31,06771;1,02344;0;5,94792;193,95074;136,83646
Pet1519;197,02366;219,90938;123,84509;7,0026;34,64063;5,04948;5,94792;0;197,52366;140,40938
SGall463;27;251,21429;94,25;195,00543;197,28929;193,05231;193,95074;197,52366;0;171,71429
VatS41-13;171,21429;164;98,03571;137,89115;140,175;135,93802;136,83646;140,40938;171,71429;0
;;;;;;;;;;
1503.1;0;-27,71429;-0,75;4,49457;1,21071;3,44769;3,54926;2,97634;0;12,78571
1508.3;-27,71429;0;-3,53571;4,60885;-2,675;5,56198;4,66354;4,09062;-30,21429;0
FlorPanc27;-0,75;-3,53571;0;-4,32686;0,38929;-2,37374;-2,27217;-3,84509;0,75;15,96429
Giunta;4,49457;4,60885;-4,32686;0;-0,1224;0;0,02344;-0,0026;2,99457;-3,89115
ModD4;1,21071;-2,675;0,38929;-0,1224;0;-0,16927;-0,06771;0,35937;3,71071;-0,175
Pet1505;3,44769;5,56198;-2,37374;0;-0,16927;0;-0,02344;-0,04948;0,94769;-3,93802
Pet1515;3,54926;4,66354;-2,27217;0,02344;-0,06771;-0,02344;0;0,05208;1,04926;-4,83646
Pet1519;2,97634;4,09062;-3,84509;-0,0026;0,35937;-0,04948;0,05208;0;0,47634;-3,40938
SGall463;0;-30,21429;0,75;2,99457;3,71071;0,94769;1,04926;0,47634;0;20,28571
VatS41-13;12,78571;0;15,96429;-3,89115;-0,175;-3,93802;-4,83646;-3,40938;20,28571;0
