;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;130;74;116;121;116;116;116;4;126
1508.3;130;0;78;127;124;131;138;131;132;93
FlorPanc27;74;78;0;102;103;102;103;102;91;65
Giunta;116;127;102;0;8;1;2;2;116;113
ModD4;121;124;103;8;0;7;8;8;121;109
Pet1505;116;131;102;1;7;0;1;1;116;112
Pet1515;116;138;103;2;8;1;0;2;116;112
Pet1519;116;131;102;2;8;1;2;0;116;112
SGall463;4;132;91;116;121;116;116;116;0;126
VatS41-13;126;93;65;113;109;112;112;112;126;0
;;;;;;;;;;
1503.1;0;130,93452;100,14881;115,55625;116,4625;115,09792;116,09792;115,84792;4;114,83333
1508.3;130,93452;0;78;129,44077;130,34702;128,98244;129,98244;129,73244;133,30952;94,39286
FlorPanc27;100,14881;78;0;98,65506;99,56131;98,19673;99,19673;98,94673;102,52381;63,60714
Giunta;115,55625;129,44077;98,65506;0;7,65625;1,08333;2,08333;1,83333;117,93125;113,33958
ModD4;116,4625;130,34702;99,56131;7,65625;0;7,19792;8,19792;7,94792;118,8375;114,24583
Pet1505;115,09792;128,98244;98,19673;1,08333;7,19792;0;1;1;117,47292;112,88125
Pet1515;116,09792;129,98244;99,19673;2,08333;8,19792;1;0;2;118,47292;113,88125
Pet1519;115,84792;129,73244;98,94673;1,83333;7,94792;1;2;0;118,22292;113,63125
SGall463;4;133,30952;102,52381;117,93125;118,8375;117,47292;118,47292;118,22292;0;117,20833
VatS41-13;114,83333;94,39286;63,60714;113,33958;114,24583;112,88125;113,88125;113,63125;117,20833;0
;;;;;;;;;;
1503.1;0;-0,93452;-26,14881;0,44375;4,5375;0,90208;-0,09792;0,15208;0;11,16667
1508.3;-0,93452;0;0;-2,44077;-6,34702;2,01756;8,01756;1,26756;-1,30952;-1,39286
FlorPanc27;-26,14881;0;0;3,34494;3,43869;3,80327;3,80327;3,05327;-11,52381;1,39286
Giunta;0,44375;-2,44077;3,34494;0;0,34375;-0,08333;-0,08333;0,16667;-1,93125;-0,33958
ModD4;4,5375;-6,34702;3,43869;0,34375;0;-0,19792;-0,19792;0,05208;2,1625;-5,24583
Pet1505;0,90208;2,01756;3,80327;-0,08333;-0,19792;0;0;0;-1,47292;-0,88125
Pet1515;-0,09792;8,01756;3,80327;-0,08333;-0,19792;0;0;0;-2,47292;-1,88125
Pet1519;0,15208;1,26756;3,05327;0,16667;0,05208;0;0;0;-2,22292;-1,63125
SGall463;0;-1,30952;-11,52381;-1,93125;2,1625;-1,47292;-2,47292;-2,22292;0;8,79167
VatS41-13;11,16667;-1,39286;1,39286;-0,33958;-5,24583;-0,88125;-1,88125;-1,63125;8,79167;0
