;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13
1503.1;0;181;74;154;154;151;152;151;4;157
1508.3;181;0;141;181;176;181;181;181;182;134
FlorPanc27;74;141;0;86;92;87;88;87;75;98
Giunta;154;181;86;0;7;1;2;2;155;102
ModD4;154;176;92;7;0;6;7;7;155;105
Pet1505;151;181;87;1;6;0;1;1;152;101
Pet1515;152;181;88;2;7;1;0;2;153;101
Pet1519;151;181;87;2;7;1;2;0;152;102
SGall463;4;182;75;155;155;152;153;152;0;156
VatS41-13;157;134;98;102;105;101;101;102;156;0
;;;;;;;;;;
1503.1;0;209,375;74,125;150,37813;151,425;149,40938;150,3;150,1125;4;138,875
1508.3;209,375;0;149,25;176,40313;177,45;175,43438;176,325;176,1375;210,125;134
FlorPanc27;74,125;149,25;0;90,25313;91,3;89,28438;90,175;89,9875;74,875;78,75
Giunta;150,37813;176,40313;90,25313;0;7,07813;1;1,98438;2,01563;151,12813;105,90313
ModD4;151,425;177,45;91,3;7,07813;0;6,10938;7;6,8125;152,175;106,95
Pet1505;149,40938;175,43438;89,28438;1;6,10938;0;1,01563;1,04688;150,15938;104,93438
Pet1515;150,3;176,325;90,175;1,98438;7;1,01563;0;1,9375;151,05;105,825
Pet1519;150,1125;176,1375;89,9875;2,01563;6,8125;1,04688;1,9375;0;150,8625;105,6375
SGall463;4;210,125;74,875;151,12813;152,175;150,15938;151,05;150,8625;0;139,625
VatS41-13;138,875;134;78,75;105,90313;106,95;104,93438;105,825;105,6375;139,625;0
;;;;;;;;;;
1503.1;0;-28,375;-0,125;3,62187;2,575;1,59062;1,7;0,8875;0;18,125
1508.3;-28,375;0;-8,25;4,59687;-1,45;5,56562;4,675;4,8625;-28,125;0
FlorPanc27;-0,125;-8,25;0;-4,25313;0,7;-2,28438;-2,175;-2,9875;0,125;19,25
Giunta;3,62187;4,59687;-4,25313;0;-0,07813;0;0,01562;-0,01563;3,87187;-3,90313
ModD4;2,575;-1,45;0,7;-0,07813;0;-0,10938;0;0,1875;2,825;-1,95
Pet1505;1,59062;5,56562;-2,28438;0;-0,10938;0;-0,01563;-0,04688;1,84062;-3,93438
Pet1515;1,7;4,675;-2,175;0,01562;0;-0,01563;0;0,0625;1,95;-4,825
Pet1519;0,8875;4,8625;-2,9875;-0,01563;0,1875;-0,04688;0,0625;0;1,1375;-3,6375
SGall463;0;-28,125;0,125;3,87187;2,825;1,84062;1,95;1,1375;0;16,375
VatS41-13;18,125;0;19,25;-3,90313;-1,95;-3,93438;-4,825;-3,6375;16,375;0
