;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet-1505;Pet-1515;Pet-1519;SGall463;VatS41-13a
1503.1;0;223;93;199;198;196;197;200;27;104
1508.3;223;0;174;222;217;221;221;224;221;177
FlorPanc27;93;174;0;117;124;117;118;120;95;19
Giunta;199;222;117;0;32;2;3;7;198;112
ModD4;198;217;124;32;0;30;31;35;201;127
Pet-1505;196;221;117;2;30;0;1;5;194;112
Pet-1515;197;221;118;3;31;1;0;6;195;113
Pet-1519;200;224;120;7;35;5;6;0;198;115
SGall463;27;221;95;198;201;194;195;198;0;102
VatS41-13a;104;177;19;112;127;112;113;115;102;0
;;;;;;;;;;
1503.1;0;244,80357;94,375;194,02805;196,04107;192,26243;193,19993;196,48638;27;98,80357
1508.3;244,80357;0;169,57143;220,62448;222,6375;218,85885;219,79635;223,08281;244,05357;168
FlorPanc27;94,375;169,57143;0;118,79591;120,80893;117,03028;117,96778;121,25424;93,625;23,57143
Giunta;194,02805;220,62448;118,79591;0;32,03385;2,03125;2,96875;6,86458;193,27805;117,22448
ModD4;196,04107;222,6375;120,80893;32,03385;0;30,26823;31,20573;34,49219;195,29107;119,2375
Pet-1505;192,26243;218,85885;117,03028;2,03125;30,26823;0;1;5,09896;191,51243;115,45885
Pet-1515;193,19993;219,79635;117,96778;2,96875;31,20573;1;0;6,03646;192,44993;116,39635
Pet-1519;196,48638;223,08281;121,25424;6,86458;34,49219;5,09896;6,03646;0;195,73638;119,68281
SGall463;27;244,05357;93,625;193,27805;195,29107;191,51243;192,44993;195,73638;0;98,05357
VatS41-13a;98,80357;168;23,57143;117,22448;119,2375;115,45885;116,39635;119,68281;98,05357;0
;;;;;;;;;;
1503.1;0;-21,80357;-1,375;4,97195;1,95893;3,73757;3,80007;3,51362;0;5,19643
1508.3;-21,80357;0;4,42857;1,37552;-5,6375;2,14115;1,20365;0,91719;-23,05357;9
FlorPanc27;-1,375;4,42857;0;-1,79591;3,19107;-0,03028;0,03222;-1,25424;1,375;-4,57143
Giunta;4,97195;1,37552;-1,79591;0;-0,03385;-0,03125;0,03125;0,13542;4,72195;-5,22448
ModD4;1,95893;-5,6375;3,19107;-0,03385;0;-0,26823;-0,20573;0,50781;5,70893;7,7625
Pet-1505;3,73757;2,14115;-0,03028;-0,03125;-0,26823;0;0;-0,09896;2,48757;-3,45885
Pet-1515;3,80007;1,20365;0,03222;0,03125;-0,20573;0;0;-0,03646;2,55007;-3,39635
Pet-1519;3,51362;0,91719;-1,25424;0,13542;0,50781;-0,09896;-0,03646;0;2,26362;-4,68281
SGall463;0;-23,05357;1,375;4,72195;5,70893;2,48757;2,55007;2,26362;0;3,94643
VatS41-13a;5,19643;9;-4,57143;-5,22448;7,7625;-3,45885;-3,39635;-4,68281;3,94643;0
