;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet-1505;Pet-1515;Pet-1519;SGall463;VatS41-13a
1503.1;0;130;74;116;121;116;116;116;4;84
1508.3;130;0;78;127;124;131;138;131;132;83
FlorPanc27;74;78;0;102;103;102;103;102;91;1
Giunta;116;127;102;0;8;1;2;2;116;99
ModD4;121;124;103;8;0;7;8;8;121;100
Pet-1505;116;131;102;1;7;0;1;1;116;99
Pet-1515;116;138;103;2;8;1;0;2;116;100
Pet-1519;116;131;102;2;8;1;2;0;116;99
SGall463;4;132;91;116;121;116;116;116;0;87
VatS41-13a;84;83;1;99;100;99;100;99;87;0
;;;;;;;;;;
1503.1;0;122,25;90,5;114,975;116,225;115,0375;116,1625;115,725;4;89,5
1508.3;122,25;0;81;131,025;132,275;131,0875;132,2125;131,775;125;80
FlorPanc27;90,5;81;0;99,275;100,525;99,3375;100,4625;100,025;93,25;1
Giunta;114,975;131,025;99,275;0;7,25;1,0625;2,1875;1,75;117,725;98,275
ModD4;116,225;132,275;100,525;7,25;0;7,3125;8,4375;8;118,975;99,525
Pet-1505;115,0375;131,0875;99,3375;1,0625;7,3125;0;1;0,9375;117,7875;98,3375
Pet-1515;116,1625;132,2125;100,4625;2,1875;8,4375;1;0;2,0625;118,9125;99,4625
Pet-1519;115,725;131,775;100,025;1,75;8;0,9375;2,0625;0;118,475;99,025
SGall463;4;125;93,25;117,725;118,975;117,7875;118,9125;118,475;0;92,25
VatS41-13a;89,5;80;1;98,275;99,525;98,3375;99,4625;99,025;92,25;0
;;;;;;;;;;
1503.1;0;7,75;-16,5;1,025;4,775;0,9625;-0,1625;0,275;0;-5,5
1508.3;7,75;0;-3;-4,025;-8,275;-0,0875;5,7875;-0,775;7;3
FlorPanc27;-16,5;-3;0;2,725;2,475;2,6625;2,5375;1,975;-2,25;0
Giunta;1,025;-4,025;2,725;0;0,75;-0,0625;-0,1875;0,25;-1,725;0,725
ModD4;4,775;-8,275;2,475;0,75;0;-0,3125;-0,4375;0;2,025;0,475
Pet-1505;0,9625;-0,0875;2,6625;-0,0625;-0,3125;0;0;0,0625;-1,7875;0,6625
Pet-1515;-0,1625;5,7875;2,5375;-0,1875;-0,4375;0;0;-0,0625;-2,9125;0,5375
Pet-1519;0,275;-0,775;1,975;0,25;0;0,0625;-0,0625;0;-2,475;-0,025
SGall463;0;7;-2,25;-1,725;2,025;-1,7875;-2,9125;-2,475;0;-5,25
VatS41-13a;-5,5;3;0;0,725;0,475;0,6625;0,5375;-0,025;-5,25;0
